Town,Total Cust.,Cust. Out,% Out,timestamp
BOSTON,277038,12,0.00,2018-07-11 23:45
CHELSEA,15806,1,0.01,2018-07-11 23:45
DEDHAM,11179,1,0.01,2018-07-11 23:45
SHARON,6753,1,0.01,2018-07-11 23:45
BOSTON,277038,12,0.0,2018-07-11 23:30
BURLINGTON,11774,1,0.01,2018-07-11 23:30
CHELSEA,15806,1,0.01,2018-07-11 23:30
DEDHAM,11179,1,0.01,2018-07-11 23:30
SHARON,6753,1,0.01,2018-07-11 23:30
BOSTON,277038,12,0.0,2018-07-11 23:00
BURLINGTON,11774,1,0.01,2018-07-11 23:00
CAMBRIDGE,54767,1,0.0,2018-07-11 23:00
CHELSEA,15806,1,0.01,2018-07-11 23:00
DEDHAM,11179,1,0.01,2018-07-11 23:00
SHARON,6753,1,0.01,2018-07-11 23:00
BOSTON,277038,12,0.0,2018-07-11 22:45
BURLINGTON,11774,1,0.01,2018-07-11 22:45
CAMBRIDGE,54767,1,0.0,2018-07-11 22:45
CHELSEA,15806,1,0.01,2018-07-11 22:45
DEDHAM,11179,1,0.01,2018-07-11 22:45
SHARON,6753,1,0.01,2018-07-11 22:45
BOSTON,277038,13,0.0,2018-07-11 21:15
BURLINGTON,11774,1,0.01,2018-07-11 21:15
CAMBRIDGE,54767,1,0.0,2018-07-11 21:15
CHELSEA,15806,1,0.01,2018-07-11 21:15
SHARON,6753,1,0.01,2018-07-11 21:15
BOSTON,277038,12,0.0,2018-07-11 21:00
BURLINGTON,11774,1,0.01,2018-07-11 21:00
CAMBRIDGE,54767,1,0.0,2018-07-11 21:00
SHARON,6753,1,0.01,2018-07-11 21:00
BOSTON,277038,11,0.0,2018-07-11 20:45
BURLINGTON,11774,1,0.01,2018-07-11 20:45
CAMBRIDGE,54767,1,0.0,2018-07-11 20:45
SHARON,6753,1,0.01,2018-07-11 20:45
BOSTON,277038,11,0.0,2018-07-11 20:30
BURLINGTON,11774,1,0.01,2018-07-11 20:30
CAMBRIDGE,54767,1,0.0,2018-07-11 20:30
SHARON,6753,1,0.01,2018-07-11 20:30
BOSTON,277038,12,0.0,2018-07-11 20:15
BURLINGTON,11774,1,0.01,2018-07-11 20:15
CAMBRIDGE,54767,1,0.0,2018-07-11 20:15
SHARON,6753,1,0.01,2018-07-11 20:15
BOSTON,277038,12,0.0,2018-07-11 20:00
SHARON,6753,1,0.01,2018-07-11 20:00
BOSTON,277038,142,0.05,2018-07-11 19:45
SHARON,6753,1,0.01,2018-07-11 19:45
BOSTON,277038,14,0.01,2018-07-11 19:30
NATICK,17229,1,0.01,2018-07-11 19:30
SHARON,6753,1,0.01,2018-07-11 19:30
BOSTON,277038,15,0.01,2018-07-11 19:15
NATICK,17229,1,0.01,2018-07-11 19:15
PROVINCETOWN,5904,4,0.07,2018-07-11 19:15
SHARON,6753,1,0.01,2018-07-11 19:15
YARMOUTH,18603,1,0.01,2018-07-11 19:15
BOSTON,277038,114,0.04,2018-07-11 19:00
NATICK,17229,1,0.01,2018-07-11 19:00
NEWTON,40680,1,0.0,2018-07-11 19:00
PROVINCETOWN,5904,4,0.07,2018-07-11 19:00
SHARON,6753,1,0.01,2018-07-11 19:00
YARMOUTH,18603,1,0.01,2018-07-11 19:00
BOSTON,277038,114,0.04,2018-07-11 18:45
NATICK,17229,1,0.01,2018-07-11 18:45
NEWTON,40680,1,0.0,2018-07-11 18:45
PROVINCETOWN,5904,4,0.07,2018-07-11 18:45
SHARON,6753,1,0.01,2018-07-11 18:45
WATERTOWN,18330,1,0.01,2018-07-11 18:45
YARMOUTH,18603,1,0.01,2018-07-11 18:45
ARLINGTON,21509,1,0.0,2018-07-11 18:30
BOSTON,277038,114,0.04,2018-07-11 18:30
NATICK,17229,1,0.01,2018-07-11 18:30
NEWTON,40680,1,0.0,2018-07-11 18:30
PROVINCETOWN,5904,4,0.07,2018-07-11 18:30
SHARON,6753,1,0.01,2018-07-11 18:30
WATERTOWN,18330,1,0.01,2018-07-11 18:30
YARMOUTH,18603,1,0.01,2018-07-11 18:30
ARLINGTON,21509,1,0.0,2018-07-11 17:45
BOSTON,277038,114,0.04,2018-07-11 17:45
CHELSEA,15806,1,0.01,2018-07-11 17:45
NEWTON,40680,1,0.0,2018-07-11 17:45
SHARON,6753,1,0.01,2018-07-11 17:45
WATERTOWN,18330,3,0.02,2018-07-11 17:45
BOSTON,277038,113,0.04,2018-07-11 17:15
DEDHAM,11179,1,0.01,2018-07-11 17:15
NEWTON,40680,1,0.0,2018-07-11 17:15
SHARON,6753,1,0.01,2018-07-11 17:15
WATERTOWN,18330,1,0.01,2018-07-11 17:15
BOSTON,277038,112,0.04,2018-07-11 16:30
CAMBRIDGE,54767,3,0.01,2018-07-11 16:30
DEDHAM,11179,1,0.01,2018-07-11 16:30
FRAMINGHAM,30263,1,0.0,2018-07-11 16:30
SHARON,6753,1,0.01,2018-07-11 16:30
BOSTON,277038,112,0.04,2018-07-11 16:15
CAMBRIDGE,54767,3,0.01,2018-07-11 16:15
DEDHAM,11179,1,0.01,2018-07-11 16:15
FRAMINGHAM,30263,1,0.0,2018-07-11 16:15
SHARON,6753,1,0.01,2018-07-11 16:15
BOSTON,277038,112,0.04,2018-07-11 16:00
CAMBRIDGE,54767,3,0.01,2018-07-11 16:00
DEDHAM,11179,1,0.01,2018-07-11 16:00
FRAMINGHAM,30263,1,0.0,2018-07-11 16:00
SHARON,6753,1,0.01,2018-07-11 16:00
BOSTON,277038,13,0.0,2018-07-11 15:45
CAMBRIDGE,54767,1,0.0,2018-07-11 15:45
DEDHAM,11179,1,0.01,2018-07-11 15:45
FRAMINGHAM,30263,1,0.0,2018-07-11 15:45
SHARON,6753,1,0.01,2018-07-11 15:45
BOSTON,277038,13,0.0,2018-07-11 15:30
CAMBRIDGE,54767,1,0.0,2018-07-11 15:30
DEDHAM,11179,1,0.01,2018-07-11 15:30
FRAMINGHAM,30263,1,0.0,2018-07-11 15:30
SHARON,6753,1,0.01,2018-07-11 15:30
BOSTON,277038,13,0.0,2018-07-11 15:15
CAMBRIDGE,54767,1,0.0,2018-07-11 15:15
DEDHAM,11179,1,0.01,2018-07-11 15:15
FRAMINGHAM,30263,1,0.0,2018-07-11 15:15
SHARON,6753,1,0.01,2018-07-11 15:15
BOSTON,277038,13,0.0,2018-07-11 15:00
