Town,Total Cust.,Cust. Out,% Out,timestamp
BLOOMFIELD,10609,295,3,2018-08-07 23:45
DANBURY,37228,13,0.03,2018-08-07 23:45
EAST GRANBY,2654,3,0.11,2018-08-07 23:45
EAST WINDSOR,6238,1,0.02,2018-08-07 23:45
ENFIELD,19361,4,0.02,2018-08-07 23:45
FARMINGTON,12799,1,0.01,2018-08-07 23:45
FRANKLIN,1014,2,0.20,2018-08-07 23:45
GREENWICH,28181,1,0.00,2018-08-07 23:45
HARTFORD,58939,96,0.16,2018-08-07 23:45
MONROE,7942,1,0.01,2018-08-07 23:45
NEW FAIRFIELD,6100,55,0.90,2018-08-07 23:45
NEWTOWN,11351,13,0.11,2018-08-07 23:45
NORFOLK,1125,1,0.09,2018-08-07 23:45
POMFRET,1863,27,1,2018-08-07 23:45
STONINGTON,10817,1,0.01,2018-08-07 23:45
TORRINGTON,18760,13,0.07,2018-08-07 23:45
WEST HARTFORD,28649,42,0.15,2018-08-07 23:45
WINDSOR,13358,366,3,2018-08-07 23:45
BLOOMFIELD,10609,295,3.0,2018-08-07 23:30
DANBURY,37228,65,0.17,2018-08-07 23:30
EAST GRANBY,2654,3,0.11,2018-08-07 23:30
ENFIELD,19361,4,0.02,2018-08-07 23:30
FARMINGTON,12799,1,0.01,2018-08-07 23:30
FRANKLIN,1014,2,0.2,2018-08-07 23:30
GREENWICH,28181,1,0.0,2018-08-07 23:30
HARTFORD,58939,96,0.16,2018-08-07 23:30
MONROE,7942,1,0.01,2018-08-07 23:30
NEW FAIRFIELD,6100,55,0.9,2018-08-07 23:30
NEWTOWN,11351,13,0.11,2018-08-07 23:30
NORFOLK,1125,1,0.09,2018-08-07 23:30
POMFRET,1863,27,1.0,2018-08-07 23:30
STONINGTON,10817,1,0.01,2018-08-07 23:30
TORRINGTON,18760,13,0.07,2018-08-07 23:30
WEST HARTFORD,28649,42,0.15,2018-08-07 23:30
WINDSOR,13358,368,3.0,2018-08-07 23:30
BLOOMFIELD,10609,326,3.0,2018-08-07 23:15
CANTERBURY,2266,2,0.09,2018-08-07 23:15
DANBURY,37228,65,0.17,2018-08-07 23:15
EAST GRANBY,2654,3,0.11,2018-08-07 23:15
EAST WINDSOR,6238,1,0.02,2018-08-07 23:15
ENFIELD,19361,2,0.01,2018-08-07 23:15
FARMINGTON,12799,504,4.0,2018-08-07 23:15
FRANKLIN,1014,3,0.3,2018-08-07 23:15
GREENWICH,28181,2,0.01,2018-08-07 23:15
HAMPTON,884,8,0.9,2018-08-07 23:15
HARTFORD,58939,96,0.16,2018-08-07 23:15
MONROE,7942,1,0.01,2018-08-07 23:15
NEW FAIRFIELD,6100,55,0.9,2018-08-07 23:15
NEWTOWN,11351,18,0.16,2018-08-07 23:15
NORFOLK,1125,1,0.09,2018-08-07 23:15
POMFRET,1863,27,1.0,2018-08-07 23:15
STONINGTON,10817,1,0.01,2018-08-07 23:15
TORRINGTON,18760,13,0.07,2018-08-07 23:15
WEST HARTFORD,28649,42,0.15,2018-08-07 23:15
WINDSOR,13358,368,3.0,2018-08-07 23:15
WINDSOR LOCKS,6395,1,0.02,2018-08-07 23:15
BLOOMFIELD,10609,326,3.0,2018-08-07 23:00
CANTERBURY,2266,2,0.09,2018-08-07 23:00
DANBURY,37228,65,0.17,2018-08-07 23:00
EAST GRANBY,2654,3,0.11,2018-08-07 23:00
EAST WINDSOR,6238,42,0.67,2018-08-07 23:00
ENFIELD,19361,2,0.01,2018-08-07 23:00
FARMINGTON,12799,504,4.0,2018-08-07 23:00
FRANKLIN,1014,2,0.2,2018-08-07 23:00
GREENWICH,28181,18,0.06,2018-08-07 23:00
HAMPTON,884,8,0.9,2018-08-07 23:00
HARTFORD,58939,318,0.54,2018-08-07 23:00
MONROE,7942,1,0.01,2018-08-07 23:00
NEW FAIRFIELD,6100,121,2.0,2018-08-07 23:00
NEWTOWN,11351,18,0.16,2018-08-07 23:00
NORFOLK,1125,1,0.09,2018-08-07 23:00
POMFRET,1863,27,1.0,2018-08-07 23:00
STONINGTON,10817,1,0.01,2018-08-07 23:00
TORRINGTON,18760,13,0.07,2018-08-07 23:00
WEST HARTFORD,28649,138,0.48,2018-08-07 23:00
WINDSOR,13358,280,2.0,2018-08-07 23:00
WINDSOR LOCKS,6395,1,0.02,2018-08-07 23:00
CANTERBURY,2266,2,0.09,2018-08-07 22:45
DANBURY,37228,65,0.17,2018-08-07 22:45
EAST GRANBY,2654,3,0.11,2018-08-07 22:45
EAST WINDSOR,6238,42,0.67,2018-08-07 22:45
ENFIELD,19361,2,0.01,2018-08-07 22:45
