Town,Total Cust.,Cust. Out,% Out,timestamp
EASTHAMPTON,8422,31,0.37,2018-07-22 23:30
EASTHAMPTON,8422,31,0.37,2018-07-22 23:15
EASTHAMPTON,8422,31,0.37,2018-07-22 23:00
EASTHAMPTON,8422,31,0.37,2018-07-22 22:45
EASTHAMPTON,8422,31,0.37,2018-07-22 22:30
EASTHAMPTON,8422,31,0.37,2018-07-22 22:15
EASTHAMPTON,8422,31,0.37,2018-07-22 22:00
EASTHAMPTON,8422,1,0.01,2018-07-22 21:45
SPRINGFIELD,64058,96,0.15,2018-07-22 20:30
LUDLOW,9421,23,0.24,2018-07-22 18:15
PITTSFIELD,23080,1,0.0,2018-07-22 18:15
COLRAIN,915,142,16.0,2018-07-22 18:00
GREENFIELD,9385,6,0.06,2018-07-22 18:00
HEATH,1,1,100.0,2018-07-22 18:00
LUDLOW,9421,1,0.01,2018-07-22 18:00
PITTSFIELD,23080,1,0.0,2018-07-22 18:00
COLRAIN,915,142,16.0,2018-07-22 17:30
GREENFIELD,9385,1,0.01,2018-07-22 17:30
HEATH,1,1,100.0,2018-07-22 17:30
PITTSFIELD,23080,1,0.0,2018-07-22 17:30
COLRAIN,915,142,16.0,2018-07-22 17:15
HEATH,1,1,100.0,2018-07-22 17:15
PITTSFIELD,23080,1,0.0,2018-07-22 17:15
BLANDFORD,696,1,0.14,2018-07-22 17:00
COLRAIN,915,142,16.0,2018-07-22 17:00
HEATH,1,1,100.0,2018-07-22 17:00
PITTSFIELD,23080,1,0.0,2018-07-22 17:00
BLANDFORD,696,1,0.14,2018-07-22 16:45
COLRAIN,915,207,23.0,2018-07-22 16:45
HEATH,1,1,100.0,2018-07-22 16:45
PITTSFIELD,23080,1,0.0,2018-07-22 16:45
BLANDFORD,696,1,0.14,2018-07-22 16:30
COLRAIN,915,207,23.0,2018-07-22 16:30
HEATH,1,1,100.0,2018-07-22 16:30
PITTSFIELD,23080,1,0.0,2018-07-22 16:30
BLANDFORD,696,1,0.14,2018-07-22 16:15
COLRAIN,915,207,23.0,2018-07-22 16:15
HEATH,1,1,100.0,2018-07-22 16:15
PITTSFIELD,23080,1,0.0,2018-07-22 16:15
BLANDFORD,696,1,0.14,2018-07-22 16:00
COLRAIN,915,207,23.0,2018-07-22 16:00
HEATH,1,1,100.0,2018-07-22 16:00
PITTSFIELD,23080,1,0.0,2018-07-22 16:00
COLRAIN,915,207,23.0,2018-07-22 15:45
HEATH,1,1,100.0,2018-07-22 15:45
COLRAIN,915,207,23.0,2018-07-22 15:30
GILL,737,3,0.41,2018-07-22 15:30
GREENFIELD,9385,1,0.01,2018-07-22 15:30
HEATH,1,1,100.0,2018-07-22 15:30
COLRAIN,915,207,23.0,2018-07-22 15:15
DEERFIELD,2619,241,9.0,2018-07-22 15:15
GILL,737,3,0.41,2018-07-22 15:15
GREENFIELD,9385,1,0.01,2018-07-22 15:15
HEATH,1,1,100.0,2018-07-22 15:15
SPRINGFIELD,64058,23,0.04,2018-07-22 15:15
COLRAIN,915,207,23.0,2018-07-22 15:00
DEERFIELD,2619,241,9.0,2018-07-22 15:00
EASTHAMPTON,8422,28,0.33,2018-07-22 15:00
GILL,737,3,0.41,2018-07-22 15:00
GREENFIELD,9385,1,0.01,2018-07-22 15:00
HEATH,1,1,100.0,2018-07-22 15:00
SPRINGFIELD,64058,23,0.04,2018-07-22 15:00
DEERFIELD,2619,241,9.0,2018-07-22 14:45
EASTHAMPTON,8422,28,0.33,2018-07-22 14:45
GILL,737,3,0.41,2018-07-22 14:45
GREENFIELD,9385,7,0.07,2018-07-22 14:45
SPRINGFIELD,64058,13,0.02,2018-07-22 14:45
DEERFIELD,2619,241,9.0,2018-07-22 14:30
EASTHAMPTON,8422,28,0.33,2018-07-22 14:30
GILL,737,3,0.41,2018-07-22 14:30
GREENFIELD,9385,7,0.07,2018-07-22 14:30
TOLLAND,576,7,1.0,2018-07-22 14:30
CONWAY,926,1,0.11,2018-07-22 14:15
DEERFIELD,2619,241,9.0,2018-07-22 14:15
EASTHAMPTON,8422,28,0.33,2018-07-22 14:15
GREENFIELD,9385,7,0.07,2018-07-22 14:15
TOLLAND,576,7,1.0,2018-07-22 14:15
WINDSOR,523,19,4.0,2018-07-22 14:15
CONWAY,926,1,0.11,2018-07-22 14:00
DEERFIELD,2619,241,9.0,2018-07-22 14:00
EASTHAMPTON,8422,28,0.33,2018-07-22 14:00
GREENFIELD,9385,6,0.06,2018-07-22 14:00
TOLLAND,576,7,1.0,2018-07-22 14:00
DEERFIELD,2619,241,9.0,2018-07-22 13:45
GREENFIELD,9385,6,0.06,2018-07-22 13:45
