Town,Total Cust.,Cust. Out,% Out,timestamp
CONWAY,926,23,2,2018-07-18 23:00
CONWAY,926,23,2.0,2018-07-18 22:45
CONWAY,926,23,2.0,2018-07-18 22:30
CONWAY,926,23,2.0,2018-07-18 22:15
CONWAY,926,23,2.0,2018-07-18 22:00
SPRINGFIELD,64058,1,0.0,2018-07-18 19:15
AMHERST,10298,18,0.17,2018-07-18 17:15
AMHERST,10298,18,0.17,2018-07-18 17:00
AMHERST,10298,18,0.17,2018-07-18 16:45
AMHERST,10298,18,0.17,2018-07-18 16:30
AMHERST,10298,18,0.17,2018-07-18 16:15
SPRINGFIELD,64058,1,0.0,2018-07-18 15:30
PITTSFIELD,23080,1,0.0,2018-07-18 15:15
SPRINGFIELD,64058,1,0.0,2018-07-18 15:15
PITTSFIELD,23080,1,0.0,2018-07-18 15:00
PITTSFIELD,23080,1,0.0,2018-07-18 14:45
CHESTERFIELD,686,1,0.15,2018-07-18 14:30
HUNTINGTON,1126,152,14.0,2018-07-18 14:30
PITTSFIELD,23080,1,0.0,2018-07-18 14:30
CHESTERFIELD,686,1,0.15,2018-07-18 14:15
HUNTINGTON,1126,152,14.0,2018-07-18 14:15
PITTSFIELD,23080,1,0.0,2018-07-18 14:15
SPRINGFIELD,64058,1,0.0,2018-07-18 14:15
CHESTERFIELD,686,1,0.15,2018-07-18 14:00
HUNTINGTON,1126,152,14.0,2018-07-18 14:00
PITTSFIELD,23080,1,0.0,2018-07-18 14:00
SPRINGFIELD,64058,1,0.0,2018-07-18 14:00
CHESTERFIELD,686,1,0.15,2018-07-18 13:45
HUNTINGTON,1126,152,14.0,2018-07-18 13:45
PITTSFIELD,23080,1,0.0,2018-07-18 13:45
PITTSFIELD,23080,1,0.0,2018-07-18 13:30
BECKET,1884,1,0.05,2018-07-18 13:15
PITTSFIELD,23080,1,0.0,2018-07-18 13:15
BECKET,1884,1,0.05,2018-07-18 13:00
DEERFIELD,2619,90,3.0,2018-07-18 13:00
PITTSFIELD,23080,1,0.0,2018-07-18 13:00
BECKET,1884,1,0.05,2018-07-18 12:45
DEERFIELD,2619,90,3.0,2018-07-18 12:45
PITTSFIELD,23080,1,0.0,2018-07-18 12:45
BECKET,1884,1,0.05,2018-07-18 12:30
DEERFIELD,2619,90,3.0,2018-07-18 12:30
PITTSFIELD,23080,1,0.0,2018-07-18 12:30
BECKET,1884,1,0.05,2018-07-18 12:15
BLANDFORD,696,11,2.0,2018-07-18 12:15
DEERFIELD,2619,90,3.0,2018-07-18 12:15
PITTSFIELD,23080,1,0.0,2018-07-18 12:15
BECKET,1884,1,0.05,2018-07-18 12:00
BLANDFORD,696,11,2.0,2018-07-18 12:00
PITTSFIELD,23080,1,0.0,2018-07-18 12:00
BECKET,1884,1,0.05,2018-07-18 11:45
BLANDFORD,696,11,2.0,2018-07-18 11:45
PITTSFIELD,23080,1,0.0,2018-07-18 11:45
BECKET,1884,1,0.05,2018-07-18 11:30
BLANDFORD,696,5,0.72,2018-07-18 11:30
SOUTHWICK,4454,1,0.02,2018-07-18 11:30
BECKET,1884,1,0.05,2018-07-18 11:15
BLANDFORD,696,4,0.57,2018-07-18 11:15
SOUTHWICK,4454,1,0.02,2018-07-18 11:15
BECKET,1884,1,0.05,2018-07-18 11:00
BLANDFORD,696,4,0.57,2018-07-18 11:00
SOUTHWICK,4454,1,0.02,2018-07-18 11:00
BECKET,1884,1,0.05,2018-07-18 10:45
BLANDFORD,696,4,0.57,2018-07-18 10:45
SOUTHWICK,4454,1,0.02,2018-07-18 10:45
BLANDFORD,696,4,0.57,2018-07-18 10:30
SOUTHWICK,4454,1,0.02,2018-07-18 10:30
BLANDFORD,696,4,0.57,2018-07-18 10:15
SOUTHWICK,4454,1,0.02,2018-07-18 10:15
BLANDFORD,696,4,0.57,2018-07-18 10:00
SOUTHWICK,4454,1,0.02,2018-07-18 10:00
BLANDFORD,696,1,0.14,2018-07-18 09:45
SOUTHWICK,4454,1,0.02,2018-07-18 09:45
BLANDFORD,696,1,0.14,2018-07-18 09:30
SOUTHWICK,4454,1,0.02,2018-07-18 09:30
BLANDFORD,696,1,0.14,2018-07-18 09:15
SOUTHWICK,4454,1,0.02,2018-07-18 09:15
SPRINGFIELD,64058,1,0.0,2018-07-18 08:15
LEE,3638,15,0.41,2018-07-18 08:00
LEE,3638,15,0.41,2018-07-18 07:45
LEE,3638,15,0.41,2018-07-18 07:30
GRANVILLE,781,1,0.13,2018-07-18 04:45
GRANVILLE,781,1,0.13,2018-07-18 04:30
GRANVILLE,781,1,0.13,2018-07-18 04:15
BLANDFORD,696,20,3.0,2018-07-18 03:30
GRANVILLE,781,33,4.0,2018-07-18 03:30
SPRINGFIELD,64058,1,0.0,2018-07-18 03:30
BLANDFORD,696,20,3.0,2018-07-18 03:15
GRANVILLE,781,33,4.0,2018-07-18 03:15
SPRINGFIELD,64058,1,0.0,2018-07-18 03:15
BLANDFORD,696,20,3.0,2018-07-18 03:00
GRANVILLE,781,33,4.0,2018-07-18 03:00
SPRINGFIELD,64058,1,0.0,2018-07-18 03:00
BLANDFORD,696,20,3.0,2018-07-18 02:45
GRANVILLE,781,33,4.0,2018-07-18 02:45
SPRINGFIELD,64058,1,0.0,2018-07-18 02:45
BLANDFORD,696,20,3.0,2018-07-18 02:30
GRANVILLE,781,33,4.0,2018-07-18 02:30
BLANDFORD,696,20,3.0,2018-07-18 02:15
GRANVILLE,781,33,4.0,2018-07-18 02:15
BLANDFORD,696,20,3.0,2018-07-18 02:00
GRANVILLE,781,33,4.0,2018-07-18 02:00
BLANDFORD,696,20,3.0,2018-07-18 01:45
GRANVILLE,781,33,4.0,2018-07-18 01:45
BLANDFORD,696,20,3.0,2018-07-18 01:30
GRANVILLE,781,33,4.0,2018-07-18 01:30
BECKET,1884,5,0.27,2018-07-18 01:15
BLANDFORD,696,20,3.0,2018-07-18 01:15
GRANVILLE,781,33,4.0,2018-07-18 01:15
BECKET,1884,5,0.27,2018-07-18 01:00
BLANDFORD,696,20,3.0,2018-07-18 01:00
GRANVILLE,781,33,4.0,2018-07-18 01:00
BECKET,1884,5,0.27,2018-07-18 00:45
BLANDFORD,696,20,3.0,2018-07-18 00:45
GRANVILLE,781,33,4.0,2018-07-18 00:45
BECKET,1884,5,0.27,2018-07-18 00:30
BLANDFORD,696,20,3.0,2018-07-18 00:30
GRANVILLE,781,33,4.0,2018-07-18 00:30
GREENFIELD,9385,1,0.01,2018-07-18 00:30
BECKET,1884,5,0.27,2018-07-18 00:15
BLANDFORD,696,20,3.0,2018-07-18 00:15
GRANVILLE,781,33,4.0,2018-07-18 00:15
GREENFIELD,9385,1,0.01,2018-07-18 00:15
MONTAGUE,4538,9,0.2,2018-07-18 00:15
BECKET,1884,19,1.0,2018-07-18 00:00
BLANDFORD,696,20,3.0,2018-07-18 00:00
GRANVILLE,781,33,4.0,2018-07-18 00:00
MONTAGUE,4538,5,0.11,2018-07-18 00:00
