Town,Total Cust.,Cust. Out,% Out,timestamp
WEST SPRINGFIELD,12807,1,0.01,2018-07-09 23:45
WEST SPRINGFIELD,12807,1,0.01,2018-07-09 23:30
WEST SPRINGFIELD,12807,1,0.01,2018-07-09 23:15
NORTHFIELD,1567,114,7.0,2018-07-09 22:30
NORTHFIELD,1567,114,7.0,2018-07-09 22:15
NORTHFIELD,1567,114,7.0,2018-07-09 22:00
NORTHFIELD,1567,114,7.0,2018-07-09 21:45
NORTHFIELD,1567,114,7.0,2018-07-09 21:30
SPRINGFIELD,64022,1,0.0,2018-07-09 21:30
NORTHFIELD,1567,7,0.45,2018-07-09 21:15
SPRINGFIELD,64022,1,0.0,2018-07-09 21:15
SOUTHAMPTON,2571,15,0.58,2018-07-09 21:00
SPRINGFIELD,64022,2,0.0,2018-07-09 21:00
SPRINGFIELD,64022,1,0.0,2018-07-09 20:45
SPRINGFIELD,64022,1,0.0,2018-07-09 19:30
SOUTHAMPTON,2571,15,0.58,2018-07-09 16:45
PITTSFIELD,23081,2,0.01,2018-07-09 16:30
SOUTHAMPTON,2571,15,0.58,2018-07-09 16:30
PITTSFIELD,23081,2,0.01,2018-07-09 16:15
SOUTHAMPTON,2571,15,0.58,2018-07-09 16:15
PITTSFIELD,23081,1,0.0,2018-07-09 16:00
SOUTHAMPTON,2571,15,0.58,2018-07-09 16:00
PITTSFIELD,23081,1,0.0,2018-07-09 15:45
SOUTHAMPTON,2571,15,0.58,2018-07-09 15:45
PITTSFIELD,23081,1,0.0,2018-07-09 15:30
SOUTHAMPTON,2571,15,0.58,2018-07-09 15:30
PITTSFIELD,23081,1,0.0,2018-07-09 15:15
SOUTHAMPTON,2571,15,0.58,2018-07-09 15:15
PITTSFIELD,23081,1,0.0,2018-07-09 15:00
PITTSFIELD,23081,1,0.0,2018-07-09 14:45
PITTSFIELD,23081,1,0.0,2018-07-09 14:30
PITTSFIELD,23081,1,0.0,2018-07-09 14:15
PITTSFIELD,23081,1,0.0,2018-07-09 14:00
PITTSFIELD,23081,1,0.0,2018-07-09 13:45
PITTSFIELD,23081,1,0.0,2018-07-09 13:30
PITTSFIELD,23081,1,0.0,2018-07-09 13:15
LANESBOROUGH,1781,1,0.06,2018-07-09 13:00
PITTSFIELD,23081,1,0.0,2018-07-09 13:00
LANESBOROUGH,1781,1,0.06,2018-07-09 12:45
PITTSFIELD,23081,1,0.0,2018-07-09 12:45
LANESBOROUGH,1781,1,0.06,2018-07-09 12:30
PITTSFIELD,23081,1,0.0,2018-07-09 12:30
SPRINGFIELD,64022,1,0.0,2018-07-09 12:30
LANESBOROUGH,1781,1,0.06,2018-07-09 12:15
PITTSFIELD,23081,1,0.0,2018-07-09 12:15
SPRINGFIELD,64022,1,0.0,2018-07-09 12:15
PITTSFIELD,23081,1,0.0,2018-07-09 12:00
PITTSFIELD,23081,1,0.0,2018-07-09 11:45
PITTSFIELD,23081,1,0.0,2018-07-09 11:30
GREENFIELD,9382,1,0.01,2018-07-09 09:45
SPRINGFIELD,64022,31,0.05,2018-07-09 09:30
SPRINGFIELD,64022,32,0.05,2018-07-09 09:15
SPRINGFIELD,64022,19,0.03,2018-07-09 09:00
AGAWAM,13020,1,0.01,2018-07-09 07:15
