Town,Total Cust.,Cust. Out,% Out,timestamp
DALTON,656,1,0.15,2018-05-31 23:45
DOVER,16888,24,0.14,2018-05-31 23:45
LYME,630,6,0.95,2018-05-31 23:45
WINDHAM,5212,39,0.75,2018-05-31 23:45
DALTON,656,1,0.15,2018-05-31 23:30
DOVER,16888,24,0.14,2018-05-31 23:30
LYME,630,6,0.95,2018-05-31 23:30
WINDHAM,5212,39,0.75,2018-05-31 23:30
DOVER,16888,24,0.14,2018-05-31 23:15
LYME,630,6,0.95,2018-05-31 23:15
WINDHAM,5212,39,0.75,2018-05-31 23:15
DOVER,16888,24,0.14,2018-05-31 23:00
LYME,630,6,0.95,2018-05-31 23:00
WINDHAM,5212,39,0.75,2018-05-31 23:00
DOVER,16888,24,0.14,2018-05-31 22:45
LYME,630,6,0.95,2018-05-31 22:45
WINDHAM,5212,39,0.75,2018-05-31 22:45
LYME,630,6,0.95,2018-05-31 22:30
WINDHAM,5212,39,0.75,2018-05-31 22:30
LYME,630,6,0.95,2018-05-31 22:15
LYME,630,6,0.95,2018-05-31 22:00
LYME,630,1,0.16,2018-05-31 21:45
LYME,630,1,0.16,2018-05-31 21:30
MANCHESTER,57946,5,0.01,2018-05-31 21:00
MANCHESTER,57946,5,0.01,2018-05-31 20:45
LACONIA,12209,1,0.01,2018-05-31 20:30
MANCHESTER,57946,5,0.01,2018-05-31 20:30
MANCHESTER,57946,5,0.01,2018-05-31 20:15
SANDOWN,1112,3,0.27,2018-05-31 20:15
MANCHESTER,57946,5,0.01,2018-05-31 20:00
SANDOWN,1112,3,0.27,2018-05-31 20:00
MANCHESTER,57946,5,0.01,2018-05-31 19:45
SANDOWN,1112,3,0.27,2018-05-31 19:45
MANCHESTER,57946,5,0.01,2018-05-31 19:30
SANDOWN,1112,3,0.27,2018-05-31 19:30
SANDOWN,1112,3,0.27,2018-05-31 19:15
SANDOWN,1112,3,0.27,2018-05-31 19:00
SANDOWN,1112,3,0.27,2018-05-31 18:45
SANDOWN,1112,3,0.27,2018-05-31 18:30
SANDOWN,1112,3,0.27,2018-05-31 18:15
ROCHESTER,16776,1,0.01,2018-05-31 18:00
SANDOWN,1112,3,0.27,2018-05-31 18:00
ROCHESTER,16776,1,0.01,2018-05-31 17:45
SANDOWN,1112,3,0.27,2018-05-31 17:45
ROCHESTER,16776,1,0.01,2018-05-31 17:30
SANDOWN,1112,3,0.27,2018-05-31 17:30
ROCHESTER,16776,1,0.01,2018-05-31 17:15
SANDOWN,1112,3,0.27,2018-05-31 17:15
SANDOWN,1112,3,0.27,2018-05-31 17:00
SANDOWN,1112,1,0.09,2018-05-31 16:45
SUNAPEE,2407,2,0.08,2018-05-31 16:15
CARROLL,1263,1,0.08,2018-05-31 16:00
SUNAPEE,2407,2,0.08,2018-05-31 16:00
CARROLL,1263,1,0.08,2018-05-31 15:45
DURHAM,3871,91,2.0,2018-05-31 15:45
SUNAPEE,2407,2,0.08,2018-05-31 15:45
CARROLL,1263,1,0.08,2018-05-31 15:30
DURHAM,3871,91,2.0,2018-05-31 15:30
SUNAPEE,2407,2,0.08,2018-05-31 15:30
CARROLL,1263,1,0.08,2018-05-31 15:15
DURHAM,3871,91,2.0,2018-05-31 15:15
SUNAPEE,2407,2,0.08,2018-05-31 15:15
CARROLL,1263,1,0.08,2018-05-31 15:00
DURHAM,3871,91,2.0,2018-05-31 15:00
SUNAPEE,2407,2,0.08,2018-05-31 15:00
CARROLL,1263,1,0.08,2018-05-31 14:45
DURHAM,3871,91,2.0,2018-05-31 14:45
OSSIPEE,3193,37,1.0,2018-05-31 14:45
SUNAPEE,2407,2,0.08,2018-05-31 14:45
CARROLL,1263,1,0.08,2018-05-31 14:30
DURHAM,3871,91,2.0,2018-05-31 14:30
OSSIPEE,3193,37,1.0,2018-05-31 14:30
SUNAPEE,2407,2,0.08,2018-05-31 14:30
CARROLL,1263,1,0.08,2018-05-31 14:15
DURHAM,3871,253,7.0,2018-05-31 14:15
OSSIPEE,3193,37,1.0,2018-05-31 14:15
PITTSBURG,1679,1,0.06,2018-05-31 14:15
SUNAPEE,2407,2,0.08,2018-05-31 14:15
OSSIPEE,3193,37,1.0,2018-05-31 14:00
PITTSBURG,1679,1,0.06,2018-05-31 14:00
WESTMORELAND,865,1,0.12,2018-05-31 14:00
HAVERHILL,1482,12,0.81,2018-05-31 13:45
LACONIA,12209,5,0.04,2018-05-31 13:45
OSSIPEE,3193,2,0.06,2018-05-31 13:45
PITTSBURG,1679,1,0.06,2018-05-31 13:45
WESTMORELAND,865,1,0.12,2018-05-31 13:45
HAVERHILL,1482,12,0.81,2018-05-31 13:30
HOOKSETT,6951,1,0.01,2018-05-31 13:30
LACONIA,12209,5,0.04,2018-05-31 13:30
WESTMORELAND,865,1,0.12,2018-05-31 13:30
HAVERHILL,1482,12,0.81,2018-05-31 13:15
HOOKSETT,6951,1,0.01,2018-05-31 13:15
LACONIA,12209,5,0.04,2018-05-31 13:15
WESTMORELAND,865,1,0.12,2018-05-31 13:15
HAVERHILL,1482,12,0.81,2018-05-31 13:00
HOOKSETT,6951,1,0.01,2018-05-31 13:00
LACONIA,12209,5,0.04,2018-05-31 13:00
WESTMORELAND,865,1,0.12,2018-05-31 13:00
CLAREMONT,6643,1,0.02,2018-05-31 12:45
HAVERHILL,1482,12,0.81,2018-05-31 12:45
HOOKSETT,6951,1,0.01,2018-05-31 12:45
LACONIA,12209,5,0.04,2018-05-31 12:45
WESTMORELAND,865,1,0.12,2018-05-31 12:45
CLAREMONT,6643,1,0.02,2018-05-31 12:30
HAVERHILL,1482,12,0.81,2018-05-31 12:30
HOOKSETT,6951,1,0.01,2018-05-31 12:30
LACONIA,12209,5,0.04,2018-05-31 12:30
SANBORNTON,1494,14,0.94,2018-05-31 12:30
WESTMORELAND,865,1,0.12,2018-05-31 12:30
ALSTEAD,50,4,8.0,2018-05-31 12:15
AMHERST,5625,4,0.07,2018-05-31 12:15
CLAREMONT,6643,1,0.02,2018-05-31 12:15
GILSUM,433,2,0.46,2018-05-31 12:15
HAVERHILL,1482,12,0.81,2018-05-31 12:15
HOOKSETT,6951,1,0.01,2018-05-31 12:15
LACONIA,12209,5,0.04,2018-05-31 12:15
SANBORNTON,1494,14,0.94,2018-05-31 12:15
WESTMORELAND,865,1,0.12,2018-05-31 12:15
ALSTEAD,50,4,8.0,2018-05-31 12:00
AMHERST,5625,4,0.07,2018-05-31 12:00
CLAREMONT,6643,1,0.02,2018-05-31 12:00
DERRY,14433,1,0.01,2018-05-31 12:00
GILSUM,433,2,0.46,2018-05-31 12:00
LACONIA,12209,5,0.04,2018-05-31 12:00
SANBORNTON,1494,14,0.94,2018-05-31 12:00
ALSTEAD,50,4,8.0,2018-05-31 11:45
AMHERST,5625,4,0.07,2018-05-31 11:45
CLAREMONT,6643,1,0.02,2018-05-31 11:45
DERRY,14433,1,0.01,2018-05-31 11:45
GILSUM,433,2,0.46,2018-05-31 11:45
LACONIA,12209,5,0.04,2018-05-31 11:45
SANBORNTON,1494,14,0.94,2018-05-31 11:45
ALSTEAD,50,4,8.0,2018-05-31 11:30
AMHERST,5625,4,0.07,2018-05-31 11:30
DERRY,14433,4,0.03,2018-05-31 11:30
GILSUM,433,2,0.46,2018-05-31 11:30
LACONIA,12209,5,0.04,2018-05-31 11:30
SANBORNTON,1494,14,0.94,2018-05-31 11:30
ALSTEAD,50,4,8.0,2018-05-31 11:15
AMHERST,5625,4,0.07,2018-05-31 11:15
DERRY,14433,3,0.02,2018-05-31 11:15
GILSUM,433,2,0.46,2018-05-31 11:15
SANBORNTON,1494,14,0.94,2018-05-31 11:15
ALSTEAD,50,1,2.0,2018-05-31 11:00
AMHERST,5625,4,0.07,2018-05-31 11:00
DERRY,14433,3,0.02,2018-05-31 11:00
GILSUM,433,1,0.23,2018-05-31 11:00
HAVERHILL,1482,2,0.13,2018-05-31 11:00
LANDAFF,160,39,24.0,2018-05-31 11:00
AMHERST,5625,4,0.07,2018-05-31 10:45
DERRY,14433,3,0.02,2018-05-31 10:45
HAVERHILL,1482,2,0.13,2018-05-31 10:45
LANDAFF,160,39,24.0,2018-05-31 10:45
MILAN,963,1,0.1,2018-05-31 10:45
AMHERST,5625,4,0.07,2018-05-31 10:30
HAVERHILL,1482,1,0.07,2018-05-31 10:30
LANDAFF,160,39,24.0,2018-05-31 10:30
AMHERST,5625,4,0.07,2018-05-31 10:15
HAVERHILL,1482,1,0.07,2018-05-31 10:15
LANDAFF,160,39,24.0,2018-05-31 10:15
AMHERST,5625,4,0.07,2018-05-31 10:00
LANDAFF,160,39,24.0,2018-05-31 10:00
WASHINGTON,904,1,0.11,2018-05-31 10:00
AMHERST,5625,4,0.07,2018-05-31 09:45
WASHINGTON,904,1,0.11,2018-05-31 09:45
AMHERST,5625,4,0.07,2018-05-31 09:30
WASHINGTON,904,1,0.11,2018-05-31 09:30
WASHINGTON,904,1,0.11,2018-05-31 09:15
WASHINGTON,904,1,0.11,2018-05-31 09:00
WASHINGTON,904,1,0.11,2018-05-31 08:45
WASHINGTON,904,1,0.11,2018-05-31 08:30
WASHINGTON,904,1,0.11,2018-05-31 08:15
WASHINGTON,904,1,0.11,2018-05-31 08:00
WASHINGTON,904,1,0.11,2018-05-31 07:45
WASHINGTON,904,1,0.11,2018-05-31 07:30
WASHINGTON,904,1,0.11,2018-05-31 07:15
WASHINGTON,904,1,0.11,2018-05-31 07:00
TEMPLE,700,1,0.14,2018-05-31 06:15
TEMPLE,700,1,0.14,2018-05-31 06:00
CANTERBURY,540,248,46.0,2018-05-31 02:30
CANTERBURY,540,248,46.0,2018-05-31 02:15
CANTERBURY,540,248,46.0,2018-05-31 02:00
NOTTINGHAM,1396,30,2.0,2018-05-31 02:00
CANTERBURY,540,248,46.0,2018-05-31 01:45
NOTTINGHAM,1396,30,2.0,2018-05-31 01:45
CANTERBURY,540,248,46.0,2018-05-31 01:30
NOTTINGHAM,1396,30,2.0,2018-05-31 01:30
CANTERBURY,540,248,46.0,2018-05-31 01:15
NOTTINGHAM,1396,30,2.0,2018-05-31 01:15
CANTERBURY,540,248,46.0,2018-05-31 01:00
NOTTINGHAM,1396,30,2.0,2018-05-31 01:00
CANTERBURY,540,248,46.0,2018-05-31 00:45
NOTTINGHAM,1396,30,2.0,2018-05-31 00:45
CANTERBURY,540,248,46.0,2018-05-31 00:30
CANTERBURY,540,1,0.19,2018-05-31 00:15
OSSIPEE,3193,12,0.38,2018-05-31 00:00
