Town,Total Cust.,Cust. Out,% Out,timestamp
BARKHAMSTED,1810,62,3,2018-07-28 21:30
BETHEL,8674,5,0.06,2018-07-28 21:30
BETHLEHEM,1903,96,5,2018-07-28 21:30
BRIDGEWATER,961,1,0.10,2018-07-28 21:30
DANBURY,37216,63,0.17,2018-07-28 21:30
EAST HARTFORD,23273,1,0.00,2018-07-28 21:30
EAST LYME,10051,19,0.19,2018-07-28 21:30
FRANKLIN,1015,1,0.10,2018-07-28 21:30
GREENWICH,28183,1,0.00,2018-07-28 21:30
HARWINTON,2503,25,1.00,2018-07-28 21:30
LITCHFIELD,4722,10,0.21,2018-07-28 21:30
MADISON,9144,1,0.01,2018-07-28 21:30
MIDDLEBURY,3465,1,0.03,2018-07-28 21:30
MONTVILLE,8038,107,1,2018-07-28 21:30
MORRIS,1406,20,1,2018-07-28 21:30
NAUGATUCK,14423,23,0.16,2018-07-28 21:30
NEW MILFORD,13942,1,0.01,2018-07-28 21:30
NEWTOWN,11352,1,0.01,2018-07-28 21:30
NORTH STONINGTON,2589,1,0.04,2018-07-28 21:30
PLYMOUTH,5775,16,0.28,2018-07-28 21:30
ROXBURY,1346,1,0.07,2018-07-28 21:30
SOUTHINGTON,20012,1,0.00,2018-07-28 21:30
STERLING,1656,68,4,2018-07-28 21:30
THOMASTON,3810,5,0.13,2018-07-28 21:30
VOLUNTOWN,1306,67,5,2018-07-28 21:30
WARREN,872,15,2,2018-07-28 21:30
WASHINGTON,2584,47,2,2018-07-28 21:30
WATERTOWN,10202,1,0.01,2018-07-28 21:30
WINCHESTER,6089,1,0.02,2018-07-28 21:30
BARKHAMSTED,1810,62,3.0,2018-07-28 21:15
BETHEL,8674,3,0.03,2018-07-28 21:15
BETHLEHEM,1903,96,5.0,2018-07-28 21:15
BRIDGEWATER,961,1,0.1,2018-07-28 21:15
DANBURY,37216,166,0.45,2018-07-28 21:15
EAST HARTFORD,23273,1,0.0,2018-07-28 21:15
EAST LYME,10051,19,0.19,2018-07-28 21:15
FRANKLIN,1015,1,0.1,2018-07-28 21:15
GREENWICH,28183,1,0.0,2018-07-28 21:15
HARWINTON,2503,25,1.0,2018-07-28 21:15
LITCHFIELD,4722,10,0.21,2018-07-28 21:15
MADISON,9144,1,0.01,2018-07-28 21:15
MIDDLEBURY,3465,1,0.03,2018-07-28 21:15
MONTVILLE,8038,18,0.22,2018-07-28 21:15
MORRIS,1406,20,1.0,2018-07-28 21:15
NAUGATUCK,14423,23,0.16,2018-07-28 21:15
NEW MILFORD,13942,1,0.01,2018-07-28 21:15
NEWTOWN,11352,1,0.01,2018-07-28 21:15
NORTH STONINGTON,2589,1,0.04,2018-07-28 21:15
PLYMOUTH,5775,16,0.28,2018-07-28 21:15
ROXBURY,1346,1,0.07,2018-07-28 21:15
SOUTHINGTON,20012,1,0.0,2018-07-28 21:15
STERLING,1656,68,4.0,2018-07-28 21:15
THOMASTON,3810,5,0.13,2018-07-28 21:15
VOLUNTOWN,1306,67,5.0,2018-07-28 21:15
WARREN,872,15,2.0,2018-07-28 21:15
WASHINGTON,2584,47,2.0,2018-07-28 21:15
WATERTOWN,10202,1,0.01,2018-07-28 21:15
WINCHESTER,6089,1,0.02,2018-07-28 21:15
BETHEL,8674,3,0.03,2018-07-28 21:00
BETHLEHEM,1903,132,7.0,2018-07-28 21:00
BRIDGEWATER,961,1,0.1,2018-07-28 21:00
CHESTER,2086,50,2.0,2018-07-28 21:00
DANBURY,37216,166,0.45,2018-07-28 21:00
EAST HARTFORD,23273,1,0.0,2018-07-28 21:00
EAST LYME,10051,1,0.01,2018-07-28 21:00
FRANKLIN,1015,1,0.1,2018-07-28 21:00
GREENWICH,28183,1,0.0,2018-07-28 21:00
HARWINTON,2503,25,1.0,2018-07-28 21:00
LITCHFIELD,4722,10,0.21,2018-07-28 21:00
MADISON,9144,1,0.01,2018-07-28 21:00
MIDDLEBURY,3465,1,0.03,2018-07-28 21:00
MONTVILLE,8038,18,0.22,2018-07-28 21:00
MORRIS,1406,18,1.0,2018-07-28 21:00
NEW MILFORD,13942,1,0.01,2018-07-28 21:00
NEWTOWN,11352,1,0.01,2018-07-28 21:00
NORTH STONINGTON,2589,1,0.04,2018-07-28 21:00
PLYMOUTH,5775,16,0.28,2018-07-28 21:00
ROXBURY,1346,1,0.07,2018-07-28 21:00
SOUTHINGTON,20012,1,0.0,2018-07-28 21:00
STERLING,1656,68,4.0,2018-07-28 21:00
THOMASTON,3810,5,0.13,2018-07-28 21:00
VOLUNTOWN,1306,67,5.0,2018-07-28 21:00
WARREN,872,15,2.0,2018-07-28 21:00
WASHINGTON,2584,41,2.0,2018-07-28 21:00
WATERTOWN,10202,1,0.01,2018-07-28 21:00
WINCHESTER,6089,1,0.02,2018-07-28 21:00
BETHEL,8674,3,0.03,2018-07-28 20:45
BETHLEHEM,1903,132,7.0,2018-07-28 20:45
BRIDGEWATER,961,1,0.1,2018-07-28 20:45
CHESTER,2086,50,2.0,2018-07-28 20:45
DANBURY,37216,166,0.45,2018-07-28 20:45
EAST HARTFORD,23273,1,0.0,2018-07-28 20:45
GREENWICH,28183,2,0.01,2018-07-28 20:45
HARWINTON,2503,25,1.0,2018-07-28 20:45
LITCHFIELD,4722,10,0.21,2018-07-28 20:45
MADISON,9144,1,0.01,2018-07-28 20:45
MIDDLEBURY,3465,1,0.03,2018-07-28 20:45
MORRIS,1406,16,1.0,2018-07-28 20:45
NEW MILFORD,13942,1,0.01,2018-07-28 20:45
NEWTOWN,11352,1,0.01,2018-07-28 20:45
NORTH STONINGTON,2589,1,0.04,2018-07-28 20:45
PLYMOUTH,5775,16,0.28,2018-07-28 20:45
PROSPECT,4139,29,0.7,2018-07-28 20:45
ROXBURY,1346,1,0.07,2018-07-28 20:45
SOUTHINGTON,20012,1,0.0,2018-07-28 20:45
STERLING,1656,68,4.0,2018-07-28 20:45
THOMASTON,3810,5,0.13,2018-07-28 20:45
