Town,Total Cust.,Cust. Out,% Out,timestamp
SPRINGFIELD,64218,450,0.70,2018-06-10 20:45
SPRINGFIELD,64218,450,0.7,2018-06-10 20:30
PITTSFIELD,23086,1,0.0,2018-06-10 20:15
SPRINGFIELD,64218,450,0.7,2018-06-10 20:15
SPRINGFIELD,64218,450,0.7,2018-06-10 20:00
RUSSELL,368,23,6.0,2018-06-10 10:00
SPRINGFIELD,64218,45,0.07,2018-06-10 10:00
RUSSELL,368,23,6.0,2018-06-10 09:45
SPRINGFIELD,64218,45,0.07,2018-06-10 09:45
RUSSELL,368,23,6.0,2018-06-10 09:30
SPRINGFIELD,64218,45,0.07,2018-06-10 09:30
RUSSELL,368,23,6.0,2018-06-10 09:15
SPRINGFIELD,64218,45,0.07,2018-06-10 09:15
RUSSELL,368,23,6.0,2018-06-10 09:00
SPRINGFIELD,64218,45,0.07,2018-06-10 09:00
RUSSELL,368,23,6.0,2018-06-10 08:45
SPRINGFIELD,64218,45,0.07,2018-06-10 08:45
RUSSELL,368,23,6.0,2018-06-10 08:30
SPRINGFIELD,64218,45,0.07,2018-06-10 08:30
RUSSELL,368,23,6.0,2018-06-10 08:15
SPRINGFIELD,64218,45,0.07,2018-06-10 08:15
RUSSELL,368,23,6.0,2018-06-10 08:00
SPRINGFIELD,64218,45,0.07,2018-06-10 08:00
RUSSELL,368,23,6.0,2018-06-10 07:45
SPRINGFIELD,64218,96,0.15,2018-06-10 07:45
RUSSELL,368,23,6.0,2018-06-10 05:45
RUSSELL,368,26,7.0,2018-06-10 01:15
RUSSELL,368,26,7.0,2018-06-10 01:00
RUSSELL,368,26,7.0,2018-06-10 00:45
RUSSELL,368,26,7.0,2018-06-10 00:30
RUSSELL,368,26,7.0,2018-06-10 00:15
RUSSELL,368,26,7.0,2018-06-10 00:00
