Town,Total Cust.,Cust. Out,% Out,timestamp
AQUINNAH,558,3,0.54,2019-01-24 23:45
ARLINGTON,21547,1,0.00,2019-01-24 23:45
BOSTON,278426,194,0.07,2019-01-24 23:45
BOURNE,11579,85,0.73,2019-01-24 23:45
BREWSTER,9025,1,0.01,2019-01-24 23:45
BROOKLINE,33132,64,0.19,2019-01-24 23:45
BURLINGTON,11765,1,0.01,2019-01-24 23:45
CAMBRIDGE,54989,2,0.00,2019-01-24 23:45
CANTON,10616,2,0.02,2019-01-24 23:45
CARVER,5720,79,1,2019-01-24 23:45
CHILMARK,1851,32,2,2019-01-24 23:45
DEDHAM,11184,1,0.01,2019-01-24 23:45
DUXBURY,6983,265,4,2019-01-24 23:45
KINGSTON,6075,4,0.07,2019-01-24 23:45
LINCOLN,2577,1,0.04,2019-01-24 23:45
MARSHFIELD,12473,278,2,2019-01-24 23:45
MILLIS,3734,2,0.05,2019-01-24 23:45
MILTON,10410,91,0.87,2019-01-24 23:45
NEEDHAM,12871,2,0.02,2019-01-24 23:45
NEWTON,40721,17,0.04,2019-01-24 23:45
NORFOLK,3982,5,0.13,2019-01-24 23:45
ORLEANS,6734,77,1,2019-01-24 23:45
PLYMOUTH,31184,525,2,2019-01-24 23:45
PLYMPTON,1275,143,11,2019-01-24 23:45
ROCHESTER,2494,23,0.92,2019-01-24 23:45
SOMERVILLE,27621,2,0.01,2019-01-24 23:45
WAREHAM,14740,67,0.45,2019-01-24 23:45
WELLFLEET,4726,1,0.02,2019-01-24 23:45
WINCHESTER,8580,2,0.02,2019-01-24 23:45
WOBURN,20676,1,0.00,2019-01-24 23:45
YARMOUTH,18593,9,0.05,2019-01-24 23:45
AQUINNAH,558,3,0.54,2019-01-24 23:30
ARLINGTON,21547,1,0.0,2019-01-24 23:30
BOSTON,278426,194,0.07,2019-01-24 23:30
BOURNE,11579,85,0.73,2019-01-24 23:30
BREWSTER,9025,1,0.01,2019-01-24 23:30
BROOKLINE,33132,64,0.19,2019-01-24 23:30
BURLINGTON,11765,1,0.01,2019-01-24 23:30
CAMBRIDGE,54989,2,0.0,2019-01-24 23:30
CANTON,10616,2,0.02,2019-01-24 23:30
CARVER,5720,79,1.0,2019-01-24 23:30
CHILMARK,1851,32,2.0,2019-01-24 23:30
DEDHAM,11184,1,0.01,2019-01-24 23:30
DUXBURY,6983,436,6.0,2019-01-24 23:30
KINGSTON,6075,44,0.72,2019-01-24 23:30
LINCOLN,2577,1,0.04,2019-01-24 23:30
MARSHFIELD,12473,278,2.0,2019-01-24 23:30
MILLIS,3734,2,0.05,2019-01-24 23:30
MILTON,10410,91,0.87,2019-01-24 23:30
NEEDHAM,12871,2,0.02,2019-01-24 23:30
NEWTON,40721,17,0.04,2019-01-24 23:30
NORFOLK,3982,5,0.13,2019-01-24 23:30
