Town,Total Cust.,Cust. Out,% Out,timestamp
GROTON,5579,1,0.02,2018-11-22 22:45
SHERMAN,1989,1,0.05,2018-11-22 22:45
GROTON,5579,1,0.02,2018-11-22 22:30
MANCHESTER,29138,1,0.0,2018-11-22 22:30
SHERMAN,1989,1,0.05,2018-11-22 22:30
SIMSBURY,10921,98,0.9,2018-11-22 22:30
MANCHESTER,29138,1,0.0,2018-11-22 22:15
SHERMAN,1989,1,0.05,2018-11-22 22:15
SIMSBURY,10921,65,0.6,2018-11-22 22:15
LITCHFIELD,4708,9,0.19,2018-11-22 20:15
SHERMAN,1989,51,3.0,2018-11-22 20:15
LITCHFIELD,4708,1,0.02,2018-11-22 20:00
SHERMAN,1989,51,3.0,2018-11-22 20:00
OLD LYME,5495,1,0.02,2018-11-22 19:45
SHERMAN,1989,51,3.0,2018-11-22 19:45
OLD LYME,5495,1,0.02,2018-11-22 19:30
SHERMAN,1989,51,3.0,2018-11-22 19:30
BRISTOL,29778,1,0.0,2018-11-22 19:15
SHERMAN,1989,51,3.0,2018-11-22 19:15
SIMSBURY,10921,1,0.01,2018-11-22 19:15
BRISTOL,29778,1,0.0,2018-11-22 19:00
SHERMAN,1989,51,3.0,2018-11-22 19:00
BRISTOL,29778,1,0.0,2018-11-22 18:45
SHERMAN,1989,51,3.0,2018-11-22 18:45
SIMSBURY,10921,86,0.79,2018-11-22 18:45
BRISTOL,29778,1,0.0,2018-11-22 18:30
SHERMAN,1989,51,3.0,2018-11-22 18:30
BRISTOL,29778,1,0.0,2018-11-22 18:15
SHERMAN,1989,51,3.0,2018-11-22 18:15
SHERMAN,1989,86,4.0,2018-11-22 18:00
BLOOMFIELD,10595,1,0.01,2018-11-22 17:00
SHERMAN,1989,86,4.0,2018-11-22 17:00
BLOOMFIELD,10595,1,0.01,2018-11-22 16:45
MORRIS,1406,143,10.0,2018-11-22 16:45
SHERMAN,1989,86,4.0,2018-11-22 16:45
WATERTOWN,10186,3,0.03,2018-11-22 16:45
MORRIS,1406,143,10.0,2018-11-22 16:30
THOMASTON,3846,1,0.03,2018-11-22 16:30
WATERTOWN,10186,3,0.03,2018-11-22 16:30
BERLIN,9249,73,0.79,2018-11-22 16:15
BLOOMFIELD,10595,1,0.01,2018-11-22 16:15
MERIDEN,28172,1,0.0,2018-11-22 16:15
MORRIS,1406,143,10.0,2018-11-22 16:15
THOMASTON,3846,1,0.03,2018-11-22 16:15
WATERTOWN,10186,3,0.03,2018-11-22 16:15
BARKHAMSTED,1779,1,0.06,2018-11-22 16:00
BERLIN,9249,73,0.79,2018-11-22 16:00
MERIDEN,28172,1,0.0,2018-11-22 16:00
MORRIS,1406,143,10.0,2018-11-22 16:00
THOMASTON,3846,1,0.03,2018-11-22 16:00
WATERTOWN,10186,3,0.03,2018-11-22 16:00
BARKHAMSTED,1779,1,0.06,2018-11-22 15:45
BERLIN,9249,531,6.0,2018-11-22 15:45
EAST HADDAM,4896,98,2.0,2018-11-22 15:45
LITCHFIELD,4708,1,0.02,2018-11-22 15:45
MANCHESTER,29138,1,0.0,2018-11-22 15:45
MERIDEN,28172,1,0.0,2018-11-22 15:45
MORRIS,1406,143,10.0,2018-11-22 15:45
NEW MILFORD,13950,1,0.01,2018-11-22 15:45
SALEM,1984,11,0.55,2018-11-22 15:45
SIMSBURY,10921,122,1.0,2018-11-22 15:45
THOMASTON,3846,1,0.03,2018-11-22 15:45
WATERTOWN,10186,3,0.03,2018-11-22 15:45
BARKHAMSTED,1779,1,0.06,2018-11-22 15:30
BERLIN,9249,531,6.0,2018-11-22 15:30
