Town,Total Cust.,Cust. Out,% Out,timestamp
BETHANY,2361,26,1,2018-08-02 23:45
DANBURY,37216,4,0.01,2018-08-02 23:45
DARIEN,8101,1,0.01,2018-08-02 23:45
EAST GRANBY,2651,3,0.11,2018-08-02 23:45
EAST WINDSOR,6236,1,0.02,2018-08-02 23:45
ENFIELD,19362,3,0.02,2018-08-02 23:45
GLASTONBURY,15983,1,0.01,2018-08-02 23:45
GREENWICH,28183,10,0.04,2018-08-02 23:45
HADDAM,3945,1,0.03,2018-08-02 23:45
HAMPTON,883,1,0.11,2018-08-02 23:45
MANCHESTER,28971,101,0.35,2018-08-02 23:45
MERIDEN,27943,30,0.11,2018-08-02 23:45
NEW FAIRFIELD,6103,6,0.10,2018-08-02 23:45
NEW HARTFORD,3251,1,0.03,2018-08-02 23:45
NEW MILFORD,13942,1,0.01,2018-08-02 23:45
OXFORD,5578,2,0.04,2018-08-02 23:45
POMFRET,1862,1,0.05,2018-08-02 23:45
RIDGEFIELD,10883,7,0.06,2018-08-02 23:45
ROCKY HILL,10189,4,0.04,2018-08-02 23:45
SOMERS,4062,47,1,2018-08-02 23:45
SOUTH WINDSOR,12336,4,0.03,2018-08-02 23:45
STAMFORD,60055,4,0.01,2018-08-02 23:45
SUFFIELD,6255,3,0.05,2018-08-02 23:45
TORRINGTON,18761,6,0.03,2018-08-02 23:45
WILTON,7642,26,0.34,2018-08-02 23:45
WINCHESTER,6089,38,0.62,2018-08-02 23:45
WINDSOR LOCKS,6397,1,0.02,2018-08-02 23:45
WOODSTOCK,4161,8,0.19,2018-08-02 23:45
BETHANY,2361,26,1.0,2018-08-02 23:30
BROOKFIELD,8394,1,0.01,2018-08-02 23:30
DANBURY,37216,4,0.01,2018-08-02 23:30
EAST GRANBY,2651,3,0.11,2018-08-02 23:30
EAST WINDSOR,6236,1,0.02,2018-08-02 23:30
ENFIELD,19362,3,0.02,2018-08-02 23:30
GLASTONBURY,15983,1,0.01,2018-08-02 23:30
GREENWICH,28183,10,0.04,2018-08-02 23:30
HADDAM,3945,1,0.03,2018-08-02 23:30
HAMPTON,883,1,0.11,2018-08-02 23:30
MANCHESTER,28971,101,0.35,2018-08-02 23:30
MERIDEN,27943,30,0.11,2018-08-02 23:30
NEW FAIRFIELD,6103,6,0.1,2018-08-02 23:30
NEW HARTFORD,3251,1,0.03,2018-08-02 23:30
NEW MILFORD,13942,2,0.01,2018-08-02 23:30
NEWTOWN,11352,1,0.01,2018-08-02 23:30
OXFORD,5578,2,0.04,2018-08-02 23:30
POMFRET,1862,28,2.0,2018-08-02 23:30
RIDGEFIELD,10883,7,0.06,2018-08-02 23:30
ROCKY HILL,10189,4,0.04,2018-08-02 23:30
SHARON,2169,32,1.0,2018-08-02 23:30
SOMERS,4062,47,1.0,2018-08-02 23:30
SOUTH WINDSOR,12336,4,0.03,2018-08-02 23:30
STAMFORD,60055,4,0.01,2018-08-02 23:30
SUFFIELD,6255,3,0.05,2018-08-02 23:30
TORRINGTON,18761,6,0.03,2018-08-02 23:30
WATERBURY,51683,10,0.02,2018-08-02 23:30
WILTON,7642,26,0.34,2018-08-02 23:30
WINCHESTER,6089,38,0.62,2018-08-02 23:30
WINDSOR LOCKS,6397,1,0.02,2018-08-02 23:30
WOODSTOCK,4161,8,0.19,2018-08-02 23:30
BERLIN,9817,1,0.01,2018-08-02 23:15
BETHANY,2361,26,1.0,2018-08-02 23:15
BROOKFIELD,8394,1,0.01,2018-08-02 23:15
DANBURY,37216,4,0.01,2018-08-02 23:15
EAST GRANBY,2651,3,0.11,2018-08-02 23:15
EAST WINDSOR,6236,1,0.02,2018-08-02 23:15
ENFIELD,19362,3,0.02,2018-08-02 23:15
GLASTONBURY,15983,1,0.01,2018-08-02 23:15
GREENWICH,28183,9,0.03,2018-08-02 23:15
HADDAM,3945,1,0.03,2018-08-02 23:15
HAMPTON,883,1,0.11,2018-08-02 23:15
MANCHESTER,28971,101,0.35,2018-08-02 23:15
MANSFIELD,7783,1,0.01,2018-08-02 23:15
MERIDEN,27943,30,0.11,2018-08-02 23:15
NEW FAIRFIELD,6103,6,0.1,2018-08-02 23:15
NEW HARTFORD,3251,1,0.03,2018-08-02 23:15
NEW MILFORD,13942,1,0.01,2018-08-02 23:15
NEWTOWN,11352,1,0.01,2018-08-02 23:15
OXFORD,5578,2,0.04,2018-08-02 23:15
POMFRET,1862,28,2.0,2018-08-02 23:15
RIDGEFIELD,10883,7,0.06,2018-08-02 23:15
ROCKY HILL,10189,4,0.04,2018-08-02 23:15
SHARON,2169,32,1.0,2018-08-02 23:15
SOMERS,4062,47,1.0,2018-08-02 23:15
SOUTH WINDSOR,12336,4,0.03,2018-08-02 23:15
STAMFORD,60055,4,0.01,2018-08-02 23:15
SUFFIELD,6255,3,0.05,2018-08-02 23:15
TORRINGTON,18761,6,0.03,2018-08-02 23:15
WATERBURY,51683,10,0.02,2018-08-02 23:15
WINCHESTER,6089,38,0.62,2018-08-02 23:15
WINDSOR LOCKS,6397,1,0.02,2018-08-02 23:15
WOODSTOCK,4161,8,0.19,2018-08-02 23:15
BERLIN,9817,1,0.01,2018-08-02 23:00
BETHANY,2361,26,1.0,2018-08-02 23:00
BROOKFIELD,8394,2,0.02,2018-08-02 23:00
DANBURY,37216,4,0.01,2018-08-02 23:00
EAST GRANBY,2651,1,0.04,2018-08-02 23:00
EAST HARTFORD,23273,1,0.0,2018-08-02 23:00
EAST WINDSOR,6236,1,0.02,2018-08-02 23:00
ENFIELD,19362,3,0.02,2018-08-02 23:00
