Town,Total Cust.,Cust. Out,% Out,timestamp
ALBANY,568,16,3,2018-11-03 23:45
AMHERST,5652,13,0.23,2018-11-03 23:45
BARNSTEAD,1599,1,0.06,2018-11-03 23:45
CHATHAM,294,294,100,2018-11-03 23:45
CLARKSVILLE,223,1,0.45,2018-11-03 23:45
COLEBROOK,1261,13,1,2018-11-03 23:45
CONWAY,4713,44,0.93,2018-11-03 23:45
DEERFIELD,1458,39,3,2018-11-03 23:45
ERROL,540,321,59,2018-11-03 23:45
FITZWILLIAM,1551,5,0.32,2018-11-03 23:45
GRANTHAM,2188,20,0.91,2018-11-03 23:45
GREENVILLE,1003,2,0.20,2018-11-03 23:45
HOLLIS,3569,2,0.06,2018-11-03 23:45
LYNDEBOROUGH,850,11,1,2018-11-03 23:45
MILFORD,7694,2,0.03,2018-11-03 23:45
MILLSFIELD,23,23,100,2018-11-03 23:45
MONT VERNON,1079,1,0.09,2018-11-03 23:45
NEW IPSWICH,2327,230,10,2018-11-03 23:45
NORTHWOOD,2369,1,0.04,2018-11-03 23:45
OSSIPEE,3208,1,0.03,2018-11-03 23:45
PITTSBURG,1689,125,7,2018-11-03 23:45
RICHMOND,625,1,0.16,2018-11-03 23:45
RINDGE,2861,2,0.07,2018-11-03 23:45
ROCHESTER,16857,2,0.01,2018-11-03 23:45
ROLLINSFORD,1290,8,0.62,2018-11-03 23:45
SANDWICH,209,6,3,2018-11-03 23:45
STARK,473,1,0.21,2018-11-03 23:45
STEWARTSTOWN,384,53,14,2018-11-03 23:45
STRAFFORD,2166,2,0.09,2018-11-03 23:45
TAMWORTH,2360,54,2,2018-11-03 23:45
UNITY,269,5,2,2018-11-03 23:45
WAKEFIELD,4081,1,0.02,2018-11-03 23:45
WEARE,4747,8,0.17,2018-11-03 23:45
WEBSTER,533,37,7,2018-11-03 23:45
WENTWORTHS LOCATION,82,79,96,2018-11-03 23:45
WILTON,1998,10,0.50,2018-11-03 23:45
WINCHESTER,2278,1,0.04,2018-11-03 23:45
ALBANY,568,16,3.0,2018-11-03 23:30
AMHERST,5652,13,0.23,2018-11-03 23:30
BARNSTEAD,1599,1,0.06,2018-11-03 23:30
CHATHAM,294,294,100.0,2018-11-03 23:30
CLARKSVILLE,223,1,0.45,2018-11-03 23:30
COLEBROOK,1261,13,1.0,2018-11-03 23:30
CONWAY,4713,164,3.0,2018-11-03 23:30
DEERFIELD,1458,39,3.0,2018-11-03 23:30
EATON,340,295,87.0,2018-11-03 23:30
ERROL,540,321,59.0,2018-11-03 23:30
FITZWILLIAM,1551,5,0.32,2018-11-03 23:30
GRANTHAM,2188,20,0.91,2018-11-03 23:30
GREENVILLE,1003,2,0.2,2018-11-03 23:30
HOLLIS,3569,2,0.06,2018-11-03 23:30
LYNDEBOROUGH,850,11,1.0,2018-11-03 23:30
MILFORD,7694,2,0.03,2018-11-03 23:30
MILLSFIELD,23,23,100.0,2018-11-03 23:30
MONT VERNON,1079,1,0.09,2018-11-03 23:30
NEW IPSWICH,2327,363,16.0,2018-11-03 23:30
NORTHWOOD,2369,1,0.04,2018-11-03 23:30
OSSIPEE,3208,1,0.03,2018-11-03 23:30
PITTSBURG,1689,166,10.0,2018-11-03 23:30
RICHMOND,625,1,0.16,2018-11-03 23:30
RINDGE,2861,19,0.66,2018-11-03 23:30
ROCHESTER,16857,2,0.01,2018-11-03 23:30
ROLLINSFORD,1290,8,0.62,2018-11-03 23:30
SANDWICH,209,6,3.0,2018-11-03 23:30
STARK,473,1,0.21,2018-11-03 23:30
STEWARTSTOWN,384,53,14.0,2018-11-03 23:30
STRAFFORD,2166,2,0.09,2018-11-03 23:30
TAMWORTH,2360,54,2.0,2018-11-03 23:30
UNITY,269,5,2.0,2018-11-03 23:30
WAKEFIELD,4081,1,0.02,2018-11-03 23:30
WEARE,4747,8,0.17,2018-11-03 23:30
WEBSTER,533,37,7.0,2018-11-03 23:30
WENTWORTHS LOCATION,82,79,96.0,2018-11-03 23:30
WILTON,1998,10,0.5,2018-11-03 23:30
WINCHESTER,2278,1,0.04,2018-11-03 23:30
ALBANY,568,16,3.0,2018-11-03 23:15
AMHERST,5652,13,0.23,2018-11-03 23:15
BARNSTEAD,1599,1,0.06,2018-11-03 23:15
CHATHAM,294,294,100.0,2018-11-03 23:15
CLARKSVILLE,223,1,0.45,2018-11-03 23:15
COLEBROOK,1261,13,1.0,2018-11-03 23:15
CONWAY,4713,164,3.0,2018-11-03 23:15
DEERFIELD,1458,39,3.0,2018-11-03 23:15
EATON,340,295,87.0,2018-11-03 23:15
ENFIELD,62,3,5.0,2018-11-03 23:15
ERROL,540,321,59.0,2018-11-03 23:15
FITZWILLIAM,1551,9,0.58,2018-11-03 23:15
GRANTHAM,2188,140,6.0,2018-11-03 23:15
GREENVILLE,1003,2,0.2,2018-11-03 23:15
HOLLIS,3569,2,0.06,2018-11-03 23:15
LYNDEBOROUGH,850,11,1.0,2018-11-03 23:15
MILFORD,7694,2,0.03,2018-11-03 23:15
MILLSFIELD,23,23,100.0,2018-11-03 23:15
MONT VERNON,1079,1,0.09,2018-11-03 23:15
NEW IPSWICH,2327,363,16.0,2018-11-03 23:15
OSSIPEE,3208,1,0.03,2018-11-03 23:15
PITTSBURG,1689,156,9.0,2018-11-03 23:15
RICHMOND,625,1,0.16,2018-11-03 23:15
RINDGE,2861,2,0.07,2018-11-03 23:15
ROCHESTER,16857,2,0.01,2018-11-03 23:15
ROLLINSFORD,1290,8,0.62,2018-11-03 23:15
SANDWICH,209,6,3.0,2018-11-03 23:15
STARK,473,1,0.21,2018-11-03 23:15
STEWARTSTOWN,384,53,14.0,2018-11-03 23:15
STRAFFORD,2166,2,0.09,2018-11-03 23:15
TAMWORTH,2360,54,2.0,2018-11-03 23:15
UNITY,269,26,10.0,2018-11-03 23:15
WAKEFIELD,4081,1,0.02,2018-11-03 23:15
WEARE,4747,8,0.17,2018-11-03 23:15
WEBSTER,533,37,7.0,2018-11-03 23:15
WENTWORTHS LOCATION,82,79,96.0,2018-11-03 23:15
WILTON,1998,10,0.5,2018-11-03 23:15
WINCHESTER,2278,1,0.04,2018-11-03 23:15
ALBANY,568,15,3.0,2018-11-03 23:00
AMHERST,5652,13,0.23,2018-11-03 23:00
BARNSTEAD,1599,1,0.06,2018-11-03 23:00
CHATHAM,294,123,42.0,2018-11-03 23:00
CLARKSVILLE,223,1,0.45,2018-11-03 23:00
COLEBROOK,1261,1,0.08,2018-11-03 23:00
CONWAY,4713,120,3.0,2018-11-03 23:00
DEERFIELD,1458,39,3.0,2018-11-03 23:00
EATON,340,295,87.0,2018-11-03 23:00
ENFIELD,62,3,5.0,2018-11-03 23:00
EPSOM,639,59,9.0,2018-11-03 23:00
ERROL,540,321,59.0,2018-11-03 23:00
FITZWILLIAM,1551,9,0.58,2018-11-03 23:00
GRANTHAM,2188,623,28.0,2018-11-03 23:00
GREENVILLE,1003,2,0.2,2018-11-03 23:00
HANCOCK,1051,18,2.0,2018-11-03 23:00
HOLLIS,3569,2,0.06,2018-11-03 23:00
JAFFREY,3043,2,0.07,2018-11-03 23:00
LYNDEBOROUGH,850,11,1.0,2018-11-03 23:00
MILFORD,7694,2,0.03,2018-11-03 23:00
MILLSFIELD,23,23,100.0,2018-11-03 23:00
MONT VERNON,1079,1,0.09,2018-11-03 23:00
NEW IPSWICH,2327,364,16.0,2018-11-03 23:00
