Town,Total Cust.,Cust. Out,% Out,timestamp
DALTON,3224,1,0.03,2018-12-23 20:30
DALTON,3224,1,0.03,2018-12-23 20:15
DALTON,3224,1,0.03,2018-12-23 20:00
SAVOY,399,1,0.25,2018-12-23 17:15
SPRINGFIELD,64270,4,0.01,2018-12-23 17:15
SAVOY,399,1,0.25,2018-12-23 17:00
SPRINGFIELD,64270,4,0.01,2018-12-23 17:00
SAVOY,399,1,0.25,2018-12-23 16:45
SPRINGFIELD,64270,4,0.01,2018-12-23 16:45
SAVOY,399,1,0.25,2018-12-23 16:30
SPRINGFIELD,64270,4,0.01,2018-12-23 16:30
SAVOY,399,1,0.25,2018-12-23 16:15
SPRINGFIELD,64270,3,0.0,2018-12-23 16:15
SAVOY,399,1,0.25,2018-12-23 16:00
SPRINGFIELD,64270,3,0.0,2018-12-23 16:00
SAVOY,399,1,0.25,2018-12-23 15:45
SPRINGFIELD,64270,2,0.0,2018-12-23 15:45
SAVOY,399,1,0.25,2018-12-23 15:30
SAVOY,399,1,0.25,2018-12-23 15:15
SPRINGFIELD,64270,17,0.03,2018-12-23 15:15
SAVOY,399,1,0.25,2018-12-23 15:00
SPRINGFIELD,64270,17,0.03,2018-12-23 15:00
SAVOY,399,1,0.25,2018-12-23 14:45
SPRINGFIELD,64270,17,0.03,2018-12-23 14:45
SAVOY,399,1,0.25,2018-12-23 14:30
SPRINGFIELD,64270,17,0.03,2018-12-23 14:30
SAVOY,399,1,0.25,2018-12-23 14:15
SPRINGFIELD,64270,17,0.03,2018-12-23 14:15
SAVOY,399,1,0.25,2018-12-23 14:00
SPRINGFIELD,64270,17,0.03,2018-12-23 14:00
SAVOY,399,1,0.25,2018-12-23 13:45
SPRINGFIELD,64270,17,0.03,2018-12-23 13:45
SAVOY,399,1,0.25,2018-12-23 13:30
SPRINGFIELD,64270,17,0.03,2018-12-23 13:30
BECKET,1880,1,0.05,2018-12-23 13:15
SAVOY,399,1,0.25,2018-12-23 13:15
SPRINGFIELD,64270,17,0.03,2018-12-23 13:15
BECKET,1880,1,0.05,2018-12-23 13:00
SAVOY,399,1,0.25,2018-12-23 13:00
SPRINGFIELD,64270,17,0.03,2018-12-23 13:00
AMHERST,10305,1,0.01,2018-12-23 12:45
BECKET,1880,1,0.05,2018-12-23 12:45
SAVOY,399,1,0.25,2018-12-23 12:45
SPRINGFIELD,64270,17,0.03,2018-12-23 12:45
AMHERST,10305,1,0.01,2018-12-23 12:30
BECKET,1880,1,0.05,2018-12-23 12:30
SAVOY,399,1,0.25,2018-12-23 12:30
SPRINGFIELD,64270,53,0.08,2018-12-23 12:30
AMHERST,10305,1,0.01,2018-12-23 12:15
BECKET,1880,1,0.05,2018-12-23 12:15
SAVOY,399,1,0.25,2018-12-23 12:15
SPRINGFIELD,64270,373,0.58,2018-12-23 12:15
AMHERST,10305,1,0.01,2018-12-23 12:00
BECKET,1880,1,0.05,2018-12-23 12:00
SAVOY,399,1,0.25,2018-12-23 12:00
SPRINGFIELD,64270,373,0.58,2018-12-23 12:00
AMHERST,10305,1,0.01,2018-12-23 11:45
BECKET,1880,1,0.05,2018-12-23 11:45
SPRINGFIELD,64270,373,0.58,2018-12-23 11:45
SPRINGFIELD,64270,373,0.58,2018-12-23 11:30
SPRINGFIELD,64270,53,0.08,2018-12-23 11:15
SPRINGFIELD,64270,17,0.03,2018-12-23 11:00
SPRINGFIELD,64270,53,0.08,2018-12-23 10:45
SPRINGFIELD,64270,54,0.08,2018-12-23 10:30
SPRINGFIELD,64270,53,0.08,2018-12-23 10:15
WEST SPRINGFIELD,12811,1,0.01,2018-12-23 10:15
SPRINGFIELD,64270,53,0.08,2018-12-23 10:00
WEST SPRINGFIELD,12811,1,0.01,2018-12-23 10:00
SPRINGFIELD,64270,53,0.08,2018-12-23 09:45
SPRINGFIELD,64270,53,0.08,2018-12-23 09:30
SPRINGFIELD,64270,53,0.08,2018-12-23 09:15
SPRINGFIELD,64270,53,0.08,2018-12-23 09:00
SPRINGFIELD,64270,53,0.08,2018-12-23 08:45
SPRINGFIELD,64270,37,0.06,2018-12-23 08:30
SPRINGFIELD,64270,36,0.06,2018-12-23 08:15
SPRINGFIELD,64270,36,0.06,2018-12-23 08:00
SPRINGFIELD,64270,36,0.06,2018-12-23 07:45
SPRINGFIELD,64270,36,0.06,2018-12-23 06:45
SPRINGFIELD,64270,36,0.06,2018-12-23 06:30
SPRINGFIELD,64270,36,0.06,2018-12-23 06:15
