Town,Total Cust.,Cust. Out,% Out,timestamp
BROOKLYN,3665,37,1,2018-08-20 23:45
BURLINGTON,3906,19,0.49,2018-08-20 23:45
WILTON,7638,65,0.85,2018-08-20 23:45
WINDSOR,13358,1,0.01,2018-08-20 23:45
BROOKLYN,3665,37,1.0,2018-08-20 23:30
BURLINGTON,3906,19,0.49,2018-08-20 23:30
NEW FAIRFIELD,6100,1,0.02,2018-08-20 23:30
WILTON,7638,65,0.85,2018-08-20 23:30
WINDSOR,13358,1,0.01,2018-08-20 23:30
BROOKLYN,3665,37,1.0,2018-08-20 23:15
BURLINGTON,3906,19,0.49,2018-08-20 23:15
NEW FAIRFIELD,6100,1,0.02,2018-08-20 23:15
WILTON,7638,65,0.85,2018-08-20 23:15
BRISTOL,29715,15,0.05,2018-08-20 23:00
BROOKLYN,3665,37,1.0,2018-08-20 23:00
BURLINGTON,3906,19,0.49,2018-08-20 23:00
NEW FAIRFIELD,6100,1,0.02,2018-08-20 23:00
WILTON,7638,65,0.85,2018-08-20 23:00
BRISTOL,29715,15,0.05,2018-08-20 22:45
BROOKLYN,3665,37,1.0,2018-08-20 22:45
BURLINGTON,3906,19,0.49,2018-08-20 22:45
NEW FAIRFIELD,6100,1,0.02,2018-08-20 22:45
BLOOMFIELD,10609,1,0.01,2018-08-20 18:45
GUILFORD,11022,1,0.01,2018-08-20 18:45
HADDAM,3945,2,0.05,2018-08-20 18:45
HARTLAND,908,1,0.11,2018-08-20 18:45
KILLINGWORTH,2869,1,0.03,2018-08-20 18:45
LITCHFIELD,4722,1,0.02,2018-08-20 18:45
PROSPECT,4139,1,0.02,2018-08-20 18:45
STAMFORD,60056,1,0.0,2018-08-20 18:45
GUILFORD,11022,1,0.01,2018-08-20 18:00
HADDAM,3945,2,0.05,2018-08-20 18:00
HARTFORD,58939,1,0.0,2018-08-20 18:00
KILLINGWORTH,2869,1,0.03,2018-08-20 18:00
LITCHFIELD,4722,1,0.02,2018-08-20 18:00
MERIDEN,27921,1,0.0,2018-08-20 18:00
SIMSBURY,10822,1,0.01,2018-08-20 18:00
GUILFORD,11022,1,0.01,2018-08-20 17:45
HADDAM,3945,2,0.05,2018-08-20 17:45
KILLINGWORTH,2869,1,0.03,2018-08-20 17:45
LITCHFIELD,4722,1,0.02,2018-08-20 17:45
GUILFORD,11022,1,0.01,2018-08-20 17:30
HADDAM,3945,2,0.05,2018-08-20 17:30
KILLINGWORTH,2869,1,0.03,2018-08-20 17:30
LITCHFIELD,4722,1,0.02,2018-08-20 17:30
TOLLAND,6039,1,0.02,2018-08-20 17:30
GLASTONBURY,16000,1,0.01,2018-08-20 17:15
GUILFORD,11022,1,0.01,2018-08-20 17:15
HADDAM,3945,2,0.05,2018-08-20 17:15
KILLINGWORTH,2869,1,0.03,2018-08-20 17:15
LITCHFIELD,4722,1,0.02,2018-08-20 17:15
TOLLAND,6039,1,0.02,2018-08-20 17:15
GUILFORD,11022,1,0.01,2018-08-20 17:00
KILLINGWORTH,2869,1,0.03,2018-08-20 17:00
LITCHFIELD,4722,1,0.02,2018-08-20 17:00
TOLLAND,6039,1,0.02,2018-08-20 17:00
GUILFORD,11022,1,0.01,2018-08-20 16:45
HARTFORD,58939,1,0.0,2018-08-20 16:45
KILLINGWORTH,2869,1,0.03,2018-08-20 16:45
LITCHFIELD,4722,1,0.02,2018-08-20 16:45
TOLLAND,6039,1,0.02,2018-08-20 16:45
DANBURY,37228,1,0.0,2018-08-20 16:30
GUILFORD,11022,1,0.01,2018-08-20 16:30
HARTFORD,58939,1,0.0,2018-08-20 16:30
KILLINGWORTH,2869,1,0.03,2018-08-20 16:30
LITCHFIELD,4722,1,0.02,2018-08-20 16:30
MIDDLETOWN,23040,18,0.08,2018-08-20 16:30
NEWTOWN,11351,1,0.01,2018-08-20 16:30
TOLLAND,6039,1,0.02,2018-08-20 16:30
GUILFORD,11022,1,0.01,2018-08-20 16:15
LITCHFIELD,4722,1,0.02,2018-08-20 16:15
MANCHESTER,28965,1,0.0,2018-08-20 16:15
MIDDLETOWN,23040,18,0.08,2018-08-20 16:15
NEWTOWN,11351,1,0.01,2018-08-20 16:15
STAMFORD,60056,34,0.06,2018-08-20 16:15
TOLLAND,6039,1,0.02,2018-08-20 16:15
MIDDLETOWN,23040,18,0.08,2018-08-20 16:00
NEWTOWN,11351,1,0.01,2018-08-20 16:00
STAMFORD,60056,34,0.06,2018-08-20 16:00
TOLLAND,6039,1,0.02,2018-08-20 16:00
VERNON,16123,20,0.12,2018-08-20 16:00
HARTFORD,58939,1,0.0,2018-08-20 15:45
MANSFIELD,7784,1,0.01,2018-08-20 15:45
MERIDEN,27921,98,0.35,2018-08-20 15:45
MIDDLETOWN,23040,18,0.08,2018-08-20 15:45
NEWTOWN,11351,1,0.01,2018-08-20 15:45
SIMSBURY,10822,1,0.01,2018-08-20 15:45
STAMFORD,60056,34,0.06,2018-08-20 15:45
TOLLAND,6039,1,0.02,2018-08-20 15:45
VERNON,16123,20,0.12,2018-08-20 15:45
HARTFORD,58939,1,0.0,2018-08-20 15:30
MERIDEN,27921,98,0.35,2018-08-20 15:30
MIDDLETOWN,23040,18,0.08,2018-08-20 15:30
MONTVILLE,8039,17,0.21,2018-08-20 15:30
STAMFORD,60056,35,0.06,2018-08-20 15:30
VERNON,16123,20,0.12,2018-08-20 15:30
HARTFORD,58939,1,0.0,2018-08-20 15:15
MERIDEN,27921,98,0.35,2018-08-20 15:15
MIDDLETOWN,23040,18,0.08,2018-08-20 15:15
MONTVILLE,8039,17,0.21,2018-08-20 15:15
STAMFORD,60056,34,0.06,2018-08-20 15:15
VERNON,16123,20,0.12,2018-08-20 15:15
