Town,Total Cust.,Cust. Out,% Out,timestamp
Town,Total Cust.,Cust. Out,% Out,2018-05-19 23:45
SULLIVAN,373,2,0.54,2018-05-19 23:45
Town,Total Cust.,Cust. Out,% Out,2018-05-19 23:30
SULLIVAN,373,1,0.27,2018-05-19 23:30
Town,Total Cust.,Cust. Out,% Out,2018-05-19 23:15
SULLIVAN,373,1,0.27,2018-05-19 23:15
Town,Total Cust.,Cust. Out,% Out,2018-05-19 23:00
SULLIVAN,373,1,0.27,2018-05-19 23:00
Town,Total Cust.,Cust. Out,% Out,2018-05-19 22:45
SULLIVAN,373,1,0.27,2018-05-19 22:45
Town,Total Cust.,Cust. Out,% Out,2018-05-19 22:30
SULLIVAN,373,1,0.27,2018-05-19 22:30
Town,Total Cust.,Cust. Out,% Out,2018-05-19 22:15
SULLIVAN,373,1,0.27,2018-05-19 22:15
Town,Total Cust.,Cust. Out,% Out,2018-05-19 22:00
NORTHUMBERLAND,1304,1,0.08,2018-05-19 22:00
Town,Total Cust.,Cust. Out,% Out,2018-05-19 19:00
BARRINGTON,4493,1,0.02,2018-05-19 19:00
Town,Total Cust.,Cust. Out,% Out,2018-05-19 18:45
BARRINGTON,4493,1,0.02,2018-05-19 18:45
Town,Total Cust.,Cust. Out,% Out,2018-05-19 18:30
BARRINGTON,4493,1,0.02,2018-05-19 18:30
LYMAN,392,10,3,2018-05-19 18:30
Town,Total Cust.,Cust. Out,% Out,2018-05-19 18:15
BARRINGTON,4493,1,0.02,2018-05-19 18:15
LYMAN,392,10,3,2018-05-19 18:15
ROCHESTER,16776,1,0.01,2018-05-19 18:15
Town,Total Cust.,Cust. Out,% Out,2018-05-19 18:00
LYMAN,392,1,0.26,2018-05-19 18:00
ROCHESTER,16776,1,0.01,2018-05-19 18:00
Town,Total Cust.,Cust. Out,% Out,2018-05-19 17:45
LYMAN,392,1,0.26,2018-05-19 17:45
ROCHESTER,16776,1,0.01,2018-05-19 17:45
Town,Total Cust.,Cust. Out,% Out,2018-05-19 17:30
LYMAN,392,1,0.26,2018-05-19 17:30
ROCHESTER,16776,1,0.01,2018-05-19 17:30
Town,Total Cust.,Cust. Out,% Out,2018-05-19 17:15
LYMAN,392,1,0.26,2018-05-19 17:15
ROCHESTER,16776,1,0.01,2018-05-19 17:15
Town,Total Cust.,Cust. Out,% Out,2018-05-19 17:00
LYMAN,392,1,0.26,2018-05-19 17:00
ROCHESTER,16776,1,0.01,2018-05-19 17:00
Town,Total Cust.,Cust. Out,% Out,2018-05-19 16:45
LYMAN,392,1,0.26,2018-05-19 16:45
