Town,Total Cust.,Cust. Out,% Out,timestamp
DANBURY,37216,25,0.07,2018-07-27 23:45
HARWINTON,2503,77,3,2018-07-27 23:45
MERIDEN,27943,1,0.00,2018-07-27 23:45
MONROE,7942,510,6,2018-07-27 23:45
NEW BRITAIN,34579,1,0.00,2018-07-27 23:45
NEWTOWN,11352,8,0.07,2018-07-27 23:45
NORTH STONINGTON,2589,21,0.81,2018-07-27 23:45
PLYMOUTH,5775,274,5,2018-07-27 23:45
THOMASTON,3810,46,1,2018-07-27 23:45
DANBURY,37216,1,0.0,2018-07-27 23:30
ENFIELD,19362,19,0.1,2018-07-27 23:30
MERIDEN,27943,1,0.0,2018-07-27 23:30
MONROE,7942,510,6.0,2018-07-27 23:30
NEW BRITAIN,34579,1,0.0,2018-07-27 23:30
NEWTOWN,11352,8,0.07,2018-07-27 23:30
NORTH STONINGTON,2589,21,0.81,2018-07-27 23:30
PLYMOUTH,5775,2,0.03,2018-07-27 23:30
THOMASTON,3810,46,1.0,2018-07-27 23:30
DANBURY,37216,1,0.0,2018-07-27 23:15
ENFIELD,19362,19,0.1,2018-07-27 23:15
GLASTONBURY,15983,1,0.01,2018-07-27 23:15
MERIDEN,27943,1,0.0,2018-07-27 23:15
MONROE,7942,511,6.0,2018-07-27 23:15
NEW BRITAIN,34579,1,0.0,2018-07-27 23:15
NEWTOWN,11352,8,0.07,2018-07-27 23:15
NORTH STONINGTON,2589,21,0.81,2018-07-27 23:15
THOMASTON,3810,46,1.0,2018-07-27 23:15
DANBURY,37216,1,0.0,2018-07-27 23:00
ENFIELD,19362,19,0.1,2018-07-27 23:00
GLASTONBURY,15983,1,0.01,2018-07-27 23:00
MERIDEN,27943,1,0.0,2018-07-27 23:00
MONROE,7942,2,0.03,2018-07-27 23:00
NEW BRITAIN,34579,1,0.0,2018-07-27 23:00
NEWTOWN,11352,1,0.01,2018-07-27 23:00
NORTH STONINGTON,2589,21,0.81,2018-07-27 23:00
THOMASTON,3810,46,1.0,2018-07-27 23:00
DANBURY,37216,1,0.0,2018-07-27 22:45
ENFIELD,19362,19,0.1,2018-07-27 22:45
GLASTONBURY,15983,1,0.01,2018-07-27 22:45
MERIDEN,27943,1,0.0,2018-07-27 22:45
MONROE,7942,1,0.01,2018-07-27 22:45
NEW BRITAIN,34579,1,0.0,2018-07-27 22:45
NEWTOWN,11352,1,0.01,2018-07-27 22:45
NORTH STONINGTON,2589,21,0.81,2018-07-27 22:45
THOMASTON,3810,46,1.0,2018-07-27 22:45
DANBURY,37216,1,0.0,2018-07-27 22:30
ENFIELD,19362,19,0.1,2018-07-27 22:30
GLASTONBURY,15983,1,0.01,2018-07-27 22:30
MERIDEN,27943,1,0.0,2018-07-27 22:30
MONROE,7942,1,0.01,2018-07-27 22:30
NEW BRITAIN,34579,1,0.0,2018-07-27 22:30
NEWTOWN,11352,1,0.01,2018-07-27 22:30
THOMASTON,3810,46,1.0,2018-07-27 22:30
