Town,Total Cust.,Cust. Out,% Out,timestamp
BRANFORD,16579,11,0.07,2018-08-16 17:30
ELLINGTON,7705,1,0.01,2018-08-16 17:30
MONROE,7942,1,0.01,2018-08-16 17:30
NEW CANAAN,8444,1,0.01,2018-08-16 17:30
WOODBURY,5181,1,0.02,2018-08-16 17:30
BRANFORD,16579,11,0.07,2018-08-16 17:15
ELLINGTON,7705,1,0.01,2018-08-16 17:15
MONROE,7942,1,0.01,2018-08-16 17:15
WOLCOTT,6977,1,0.01,2018-08-16 17:15
WOODBURY,5181,1,0.02,2018-08-16 17:15
BRANFORD,16579,11,0.07,2018-08-16 17:00
ELLINGTON,7705,1,0.01,2018-08-16 17:00
MONROE,7942,1,0.01,2018-08-16 17:00
PLAINFIELD,7225,17,0.24,2018-08-16 17:00
WOLCOTT,6977,1,0.01,2018-08-16 17:00
WOODBURY,5181,1,0.02,2018-08-16 17:00
BRANFORD,16579,11,0.07,2018-08-16 16:45
ELLINGTON,7705,1,0.01,2018-08-16 16:45
GREENWICH,28181,1,0.0,2018-08-16 16:45
HEBRON,3952,4,0.1,2018-08-16 16:45
MARLBOROUGH,2640,9,0.34,2018-08-16 16:45
MONROE,7942,1,0.01,2018-08-16 16:45
PLAINFIELD,7225,17,0.24,2018-08-16 16:45
WATERBURY,51698,1,0.0,2018-08-16 16:45
WESTON,3890,1,0.03,2018-08-16 16:45
WOODBURY,5181,1,0.02,2018-08-16 16:45
AVON,8704,4,0.05,2018-08-16 16:30
BLOOMFIELD,10609,1,0.01,2018-08-16 16:30
BRANFORD,16579,25,0.15,2018-08-16 16:30
COVENTRY,5643,1,0.02,2018-08-16 16:30
ELLINGTON,7705,1,0.01,2018-08-16 16:30
HEBRON,3952,4,0.1,2018-08-16 16:30
MARLBOROUGH,2640,9,0.34,2018-08-16 16:30
MONROE,7942,1,0.01,2018-08-16 16:30
PLAINFIELD,7225,17,0.24,2018-08-16 16:30
WATERBURY,51698,1,0.0,2018-08-16 16:30
WOODBURY,5181,1,0.02,2018-08-16 16:30
AVON,8704,4,0.05,2018-08-16 16:15
BLOOMFIELD,10609,1,0.01,2018-08-16 16:15
BRANFORD,16579,25,0.15,2018-08-16 16:15
HEBRON,3952,4,0.1,2018-08-16 16:15
MARLBOROUGH,2640,9,0.34,2018-08-16 16:15
MONROE,7942,1,0.01,2018-08-16 16:15
WATERBURY,51698,2,0.0,2018-08-16 16:15
WOODBURY,5181,13,0.25,2018-08-16 16:15
AVON,8704,4,0.05,2018-08-16 16:00
BLOOMFIELD,10609,1,0.01,2018-08-16 16:00
BRANFORD,16579,25,0.15,2018-08-16 16:00
DANBURY,37228,1,0.0,2018-08-16 16:00
HEBRON,3952,4,0.1,2018-08-16 16:00
MARLBOROUGH,2640,9,0.34,2018-08-16 16:00
MONROE,7942,1,0.01,2018-08-16 16:00
OXFORD,5584,1,0.02,2018-08-16 16:00
WATERBURY,51698,2,0.0,2018-08-16 16:00
WOODBURY,5181,13,0.25,2018-08-16 16:00
AVON,8704,4,0.05,2018-08-16 15:45
BLOOMFIELD,10609,1,0.01,2018-08-16 15:45
BRANFORD,16579,25,0.15,2018-08-16 15:45
HEBRON,3952,4,0.1,2018-08-16 15:45
MARLBOROUGH,2640,9,0.34,2018-08-16 15:45
MIDDLETOWN,23040,1,0.0,2018-08-16 15:45
MONROE,7942,1,0.01,2018-08-16 15:45
STAFFORD,6289,1,0.02,2018-08-16 15:45
WATERBURY,51698,2,0.0,2018-08-16 15:45
WILTON,7638,1,0.01,2018-08-16 15:45
WOODBURY,5181,13,0.25,2018-08-16 15:45
AVON,8704,4,0.05,2018-08-16 15:15
BLOOMFIELD,10609,1,0.01,2018-08-16 15:15
CORNWALL,1202,1,0.08,2018-08-16 15:15
HEBRON,3952,4,0.1,2018-08-16 15:15
MARLBOROUGH,2640,9,0.34,2018-08-16 15:15
MONROE,7942,1,0.01,2018-08-16 15:15
STAFFORD,6289,1,0.02,2018-08-16 15:15
WESTON,3890,1,0.03,2018-08-16 15:15
WILTON,7638,1,0.01,2018-08-16 15:15
WOODBURY,5181,13,0.25,2018-08-16 15:15
AVON,8704,4,0.05,2018-08-16 15:00
BLOOMFIELD,10609,1,0.01,2018-08-16 15:00
CORNWALL,1202,1,0.08,2018-08-16 15:00
MONROE,7942,1,0.01,2018-08-16 15:00
STAFFORD,6289,1,0.02,2018-08-16 15:00
WESTON,3890,1,0.03,2018-08-16 15:00
WILTON,7638,1,0.01,2018-08-16 15:00
AVON,8704,4,0.05,2018-08-16 14:45
BLOOMFIELD,10609,1,0.01,2018-08-16 14:45
CORNWALL,1202,1,0.08,2018-08-16 14:45
DANBURY,37228,1,0.0,2018-08-16 14:45
MONROE,7942,1,0.01,2018-08-16 14:45
STAFFORD,6289,3,0.05,2018-08-16 14:45
WESTON,3890,1,0.03,2018-08-16 14:45
WILTON,7638,1,0.01,2018-08-16 14:45
AVON,8704,4,0.05,2018-08-16 14:30
BLOOMFIELD,10609,1,0.01,2018-08-16 14:30
CORNWALL,1202,1,0.08,2018-08-16 14:30
MONROE,7942,1,0.01,2018-08-16 14:30
STAFFORD,6289,3,0.05,2018-08-16 14:30
WESTON,3890,1,0.03,2018-08-16 14:30
WILTON,7638,1,0.01,2018-08-16 14:30
AVON,8704,4,0.05,2018-08-16 14:00
BLOOMFIELD,10609,10,0.09,2018-08-16 14:00
CORNWALL,1202,1,0.08,2018-08-16 14:00
MANCHESTER,28965,1,0.0,2018-08-16 14:00
MONROE,7942,1,0.01,2018-08-16 14:00
STAFFORD,6289,1,0.02,2018-08-16 14:00
WESTON,3890,1,0.03,2018-08-16 14:00
WILTON,7638,1,0.01,2018-08-16 14:00
AVON,8704,4,0.05,2018-08-16 13:45
BLOOMFIELD,10609,10,0.09,2018-08-16 13:45
EAST LYME,10055,1,0.01,2018-08-16 13:45
MONROE,7942,1,0.01,2018-08-16 13:45
SOUTHINGTON,20020,53,0.26,2018-08-16 13:45
STAFFORD,6289,1,0.02,2018-08-16 13:45
WESTON,3890,1,0.03,2018-08-16 13:45
AVON,8704,4,0.05,2018-08-16 13:30
BLOOMFIELD,10609,10,0.09,2018-08-16 13:30
EAST LYME,10055,1,0.01,2018-08-16 13:30
GREENWICH,28181,89,0.32,2018-08-16 13:30
MONROE,7942,1,0.01,2018-08-16 13:30
SOUTHINGTON,20020,53,0.26,2018-08-16 13:30
STAFFORD,6289,1,0.02,2018-08-16 13:30
WESTON,3890,1,0.03,2018-08-16 13:30
WINCHESTER,6090,13,0.21,2018-08-16 13:30
AVON,8704,4,0.05,2018-08-16 13:15
BLOOMFIELD,10609,2,0.02,2018-08-16 13:15
EAST LYME,10055,1,0.01,2018-08-16 13:15
GREENWICH,28181,89,0.32,2018-08-16 13:15
MONROE,7942,1,0.01,2018-08-16 13:15
SOUTHINGTON,20020,53,0.26,2018-08-16 13:15
STAFFORD,6289,1,0.02,2018-08-16 13:15
WESTON,3890,1,0.03,2018-08-16 13:15
WINCHESTER,6090,13,0.21,2018-08-16 13:15
AVON,8704,4,0.05,2018-08-16 13:00
BLOOMFIELD,10609,1,0.01,2018-08-16 13:00
EAST LYME,10055,1,0.01,2018-08-16 13:00
GREENWICH,28181,89,0.32,2018-08-16 13:00
MONROE,7942,1,0.01,2018-08-16 13:00
SOUTHINGTON,20020,53,0.26,2018-08-16 13:00
STAFFORD,6289,1,0.02,2018-08-16 13:00
WINCHESTER,6090,13,0.21,2018-08-16 13:00
AVON,8704,4,0.05,2018-08-16 12:45
BLOOMFIELD,10609,1,0.01,2018-08-16 12:45
EAST LYME,10055,1,0.01,2018-08-16 12:45
GREENWICH,28181,89,0.32,2018-08-16 12:45
MONROE,7942,1,0.01,2018-08-16 12:45
NEW CANAAN,8444,1,0.01,2018-08-16 12:45
SOUTHINGTON,20020,53,0.26,2018-08-16 12:45
STAFFORD,6289,1,0.02,2018-08-16 12:45
WETHERSFIELD,12471,1,0.01,2018-08-16 12:45
WINCHESTER,6090,8,0.13,2018-08-16 12:45
AVON,8704,4,0.05,2018-08-16 12:30
BLOOMFIELD,10609,1,0.01,2018-08-16 12:30
EAST LYME,10055,1,0.01,2018-08-16 12:30
GREENWICH,28181,89,0.32,2018-08-16 12:30
