Town,Total Cust.,Cust. Out,% Out,timestamp
BERNARDSTON,1099,1,0.09,2018-06-30 23:45
BERNARDSTON,1099,1,0.09,2018-06-30 23:30
BERNARDSTON,1099,1,0.09,2018-06-30 23:15
BERNARDSTON,1099,1,0.09,2018-06-30 23:00
BERNARDSTON,1099,1,0.09,2018-06-30 22:45
WESTHAMPTON,842,1,0.12,2018-06-30 22:45
BERNARDSTON,1099,1,0.09,2018-06-30 22:30
WESTHAMPTON,842,1,0.12,2018-06-30 22:30
BERNARDSTON,1099,1,0.09,2018-06-30 22:15
WESTHAMPTON,842,1,0.12,2018-06-30 22:15
BERNARDSTON,1099,1,0.09,2018-06-30 22:00
BERNARDSTON,1099,1,0.09,2018-06-30 21:45
BERNARDSTON,1099,1,0.09,2018-06-30 21:30
EASTHAMPTON,8426,9,0.11,2018-06-30 21:15
EASTHAMPTON,8426,9,0.11,2018-06-30 21:00
EASTHAMPTON,8426,9,0.11,2018-06-30 20:45
EASTHAMPTON,8426,9,0.11,2018-06-30 20:30
EASTHAMPTON,8426,9,0.11,2018-06-30 20:15
EASTHAMPTON,8426,9,0.11,2018-06-30 20:00
CONWAY,927,1,0.11,2018-06-30 19:45
EASTHAMPTON,8426,9,0.11,2018-06-30 19:45
CONWAY,927,1,0.11,2018-06-30 19:30
CONWAY,927,1,0.11,2018-06-30 19:15
EASTHAMPTON,8426,29,0.34,2018-06-30 19:15
LUDLOW,9415,2,0.02,2018-06-30 19:15
OTIS,2043,35,2.0,2018-06-30 19:15
EASTHAMPTON,8426,29,0.34,2018-06-30 19:00
LUDLOW,9415,2,0.02,2018-06-30 19:00
OTIS,2043,35,2.0,2018-06-30 19:00
EASTHAMPTON,8426,29,0.34,2018-06-30 18:45
LUDLOW,9415,2,0.02,2018-06-30 18:45
OTIS,2043,35,2.0,2018-06-30 18:45
AMHERST,10302,1,0.01,2018-06-30 18:30
EASTHAMPTON,8426,29,0.34,2018-06-30 18:30
LUDLOW,9415,2,0.02,2018-06-30 18:30
OTIS,2043,35,2.0,2018-06-30 18:30
EASTHAMPTON,8426,29,0.34,2018-06-30 18:15
HADLEY,3216,1,0.03,2018-06-30 18:15
LUDLOW,9415,253,3.0,2018-06-30 18:15
OTIS,2043,34,2.0,2018-06-30 18:15
EASTHAMPTON,8426,29,0.34,2018-06-30 18:00
HADLEY,3216,1,0.03,2018-06-30 18:00
LUDLOW,9415,208,2.0,2018-06-30 18:00
OTIS,2043,34,2.0,2018-06-30 18:00
EASTHAMPTON,8426,29,0.34,2018-06-30 17:45
LUDLOW,9415,359,4.0,2018-06-30 17:45
OTIS,2043,34,2.0,2018-06-30 17:45
SPRINGFIELD,64218,13,0.02,2018-06-30 17:45
EASTHAMPTON,8426,1,0.01,2018-06-30 17:30
LUDLOW,9415,2,0.02,2018-06-30 17:30
OTIS,2043,34,2.0,2018-06-30 17:30
SPRINGFIELD,64218,13,0.02,2018-06-30 17:30
OTIS,2043,34,2.0,2018-06-30 17:15
SPRINGFIELD,64218,14,0.02,2018-06-30 17:15
OTIS,2043,34,2.0,2018-06-30 17:00
SPRINGFIELD,64218,14,0.02,2018-06-30 17:00
BLANDFORD,696,1,0.14,2018-06-30 16:45
HUNTINGTON,1124,7,0.62,2018-06-30 16:45
SPRINGFIELD,64218,2,0.0,2018-06-30 16:45
HUNTINGTON,1124,7,0.62,2018-06-30 16:30
SPRINGFIELD,64218,1,0.0,2018-06-30 16:30
HUNTINGTON,1124,7,0.62,2018-06-30 16:15
SPRINGFIELD,64218,1,0.0,2018-06-30 16:15
HUNTINGTON,1124,7,0.62,2018-06-30 16:00
SPRINGFIELD,64218,1,0.0,2018-06-30 16:00
BLANDFORD,696,6,0.86,2018-06-30 15:45
BLANDFORD,696,6,0.86,2018-06-30 15:30
BLANDFORD,696,6,0.86,2018-06-30 15:15
BLANDFORD,696,1,0.14,2018-06-30 15:00
BLANDFORD,696,1,0.14,2018-06-30 14:45
BLANDFORD,696,1,0.14,2018-06-30 14:30
BLANDFORD,696,1,0.14,2018-06-30 14:15
BLANDFORD,696,1,0.14,2018-06-30 14:00
BLANDFORD,696,1,0.14,2018-06-30 13:45
BLANDFORD,696,1,0.14,2018-06-30 13:30
BLANDFORD,696,1,0.14,2018-06-30 13:15
BLANDFORD,696,1,0.14,2018-06-30 13:00
PITTSFIELD,23086,1,0.0,2018-06-30 13:00
PITTSFIELD,23086,1,0.0,2018-06-30 12:45
PITTSFIELD,23086,1,0.0,2018-06-30 12:30
GREENFIELD,9383,1,0.01,2018-06-30 12:15
PITTSFIELD,23086,1,0.0,2018-06-30 12:15
SUNDERLAND,2000,1,0.05,2018-06-30 10:45
SUNDERLAND,2000,1,0.05,2018-06-30 10:30
EASTHAMPTON,8426,150,2.0,2018-06-30 09:00
EASTHAMPTON,8426,150,2.0,2018-06-30 08:45
LUDLOW,9415,1,0.01,2018-06-30 03:00
LUDLOW,9415,1,0.01,2018-06-30 02:45
LUDLOW,9415,1,0.01,2018-06-30 02:30
LUDLOW,9415,1,0.01,2018-06-30 02:15
LUDLOW,9415,1,0.01,2018-06-30 02:00
LUDLOW,9415,1,0.01,2018-06-30 01:45
LUDLOW,9415,1,0.01,2018-06-30 01:30
LUDLOW,9415,1,0.01,2018-06-30 01:15
LUDLOW,9415,1,0.01,2018-06-30 01:00
LUDLOW,9415,1,0.01,2018-06-30 00:45
LUDLOW,9415,1,0.01,2018-06-30 00:30
AMHERST,10302,1,0.01,2018-06-30 00:15
LUDLOW,9415,1,0.01,2018-06-30 00:15
AMHERST,10302,1,0.01,2018-06-30 00:00
LUDLOW,9415,1,0.01,2018-06-30 00:00
