Town,Total Cust.,Cust. Out,% Out,timestamp
EAST WINDSOR,6238,1,0.02,2018-08-12 22:45
ESSEX,4020,2,0.05,2018-08-12 22:45
HEBRON,3952,3,0.08,2018-08-12 22:45
LISBON,1880,3,0.16,2018-08-12 22:45
NORWALK,31262,1,0.00,2018-08-12 22:45
OLD SAYBROOK,7107,21,0.30,2018-08-12 22:45
WILTON,7638,7,0.09,2018-08-12 22:45
BETHLEHEM,1905,3,0.16,2018-08-12 19:45
EAST WINDSOR,6238,1,0.02,2018-08-12 19:45
GREENWICH,28181,8,0.03,2018-08-12 19:45
GUILFORD,11022,22,0.2,2018-08-12 19:45
HARTFORD,58939,1,0.0,2018-08-12 19:45
LEBANON,2248,1,0.04,2018-08-12 19:45
MONTVILLE,8039,1,0.01,2018-08-12 19:45
NEW CANAAN,8444,3,0.04,2018-08-12 19:45
NEWTOWN,11351,1,0.01,2018-08-12 19:45
NORTH STONINGTON,2589,1,0.04,2018-08-12 19:45
SOUTHINGTON,20020,1,0.0,2018-08-12 19:45
STAMFORD,60056,1,0.0,2018-08-12 19:45
WILTON,7638,89,1.0,2018-08-12 19:45
BETHLEHEM,1905,3,0.16,2018-08-12 19:30
EAST WINDSOR,6238,1,0.02,2018-08-12 19:30
GREENWICH,28181,14,0.05,2018-08-12 19:30
GUILFORD,11022,22,0.2,2018-08-12 19:30
HARTFORD,58939,2,0.0,2018-08-12 19:30
LEBANON,2248,1,0.04,2018-08-12 19:30
MONTVILLE,8039,1,0.01,2018-08-12 19:30
NEW CANAAN,8444,3,0.04,2018-08-12 19:30
NEW LONDON,13995,1,0.01,2018-08-12 19:30
NORTH STONINGTON,2589,1,0.04,2018-08-12 19:30
STAMFORD,60056,1,0.0,2018-08-12 19:30
WILTON,7638,89,1.0,2018-08-12 19:30
BETHLEHEM,1905,3,0.16,2018-08-12 19:15
EAST WINDSOR,6238,1,0.02,2018-08-12 19:15
GREENWICH,28181,14,0.05,2018-08-12 19:15
GUILFORD,11022,22,0.2,2018-08-12 19:15
HARTFORD,58939,2,0.0,2018-08-12 19:15
LEBANON,2248,1,0.04,2018-08-12 19:15
MONTVILLE,8039,1,0.01,2018-08-12 19:15
NEW CANAAN,8444,3,0.04,2018-08-12 19:15
NEW LONDON,13995,1,0.01,2018-08-12 19:15
NORTH STONINGTON,2589,1,0.04,2018-08-12 19:15
STAMFORD,60056,1,0.0,2018-08-12 19:15
WILTON,7638,89,1.0,2018-08-12 19:15
BETHLEHEM,1905,3,0.16,2018-08-12 19:00
EAST WINDSOR,6238,1,0.02,2018-08-12 19:00
GREENWICH,28181,14,0.05,2018-08-12 19:00
GUILFORD,11022,22,0.2,2018-08-12 19:00
HARTFORD,58939,1,0.0,2018-08-12 19:00
LEBANON,2248,1,0.04,2018-08-12 19:00
MONTVILLE,8039,1,0.01,2018-08-12 19:00
NEW CANAAN,8444,3,0.04,2018-08-12 19:00
NORTH STONINGTON,2589,1,0.04,2018-08-12 19:00
STAMFORD,60056,1,0.0,2018-08-12 19:00
WILTON,7638,89,1.0,2018-08-12 19:00
BETHLEHEM,1905,3,0.16,2018-08-12 18:45
EAST WINDSOR,6238,1,0.02,2018-08-12 18:45
GREENWICH,28181,6,0.02,2018-08-12 18:45
HARTFORD,58939,1,0.0,2018-08-12 18:45
LEBANON,2248,3,0.13,2018-08-12 18:45
MONTVILLE,8039,1,0.01,2018-08-12 18:45
NEW CANAAN,8444,3,0.04,2018-08-12 18:45
NORTH STONINGTON,2589,1,0.04,2018-08-12 18:45
STAMFORD,60056,1,0.0,2018-08-12 18:45
WILTON,7638,89,1.0,2018-08-12 18:45
BETHLEHEM,1905,3,0.16,2018-08-12 18:30
EAST WINDSOR,6238,1,0.02,2018-08-12 18:30
GREENWICH,28181,6,0.02,2018-08-12 18:30
HARTFORD,58939,1,0.0,2018-08-12 18:30
LEBANON,2248,3,0.13,2018-08-12 18:30
MONTVILLE,8039,1,0.01,2018-08-12 18:30
NEW CANAAN,8444,3,0.04,2018-08-12 18:30
NORTH STONINGTON,2589,1,0.04,2018-08-12 18:30
STAMFORD,60056,1,0.0,2018-08-12 18:30
WILTON,7638,89,1.0,2018-08-12 18:30
BETHLEHEM,1905,3,0.16,2018-08-12 18:15
DANBURY,37228,1,0.0,2018-08-12 18:15
EAST WINDSOR,6238,1,0.02,2018-08-12 18:15
