Town,Total Cust.,Cust. Out,% Out,timestamp
BATH,530,75,14,2018-06-01 23:45
DEERING,1122,89,8,2018-06-01 23:45
EPPING,3222,1,0.03,2018-06-01 23:45
HAVERHILL,1482,4,0.27,2018-06-01 23:45
BATH,530,72,14.0,2018-06-01 23:30
DEERING,1122,89,8.0,2018-06-01 23:30
EPPING,3222,1,0.03,2018-06-01 23:30
HAVERHILL,1482,3,0.2,2018-06-01 23:30
BATH,530,1,0.19,2018-06-01 22:45
BATH,530,1,0.19,2018-06-01 22:30
NORTHWOOD,2353,1,0.04,2018-06-01 22:30
PLAINFIELD,389,12,3.0,2018-06-01 22:30
NORTHWOOD,2353,1,0.04,2018-06-01 22:15
PLAINFIELD,389,12,3.0,2018-06-01 22:15
NORTHWOOD,2353,1,0.04,2018-06-01 22:00
PLAINFIELD,389,12,3.0,2018-06-01 22:00
PLAINFIELD,389,12,3.0,2018-06-01 21:45
BELMONT,4228,1,0.02,2018-06-01 21:30
PLAINFIELD,389,12,3.0,2018-06-01 21:30
BATH,530,18,3.0,2018-06-01 21:15
BELMONT,4228,1,0.02,2018-06-01 21:15
LYMAN,392,11,3.0,2018-06-01 21:15
PLAINFIELD,389,12,3.0,2018-06-01 21:15
BATH,530,18,3.0,2018-06-01 21:00
LYMAN,392,11,3.0,2018-06-01 21:00
PLAINFIELD,389,12,3.0,2018-06-01 21:00
BATH,530,18,3.0,2018-06-01 20:45
LYMAN,392,11,3.0,2018-06-01 20:45
PLAINFIELD,389,12,3.0,2018-06-01 20:45
BATH,530,18,3.0,2018-06-01 20:30
LYMAN,392,11,3.0,2018-06-01 20:30
PLAINFIELD,389,12,3.0,2018-06-01 20:30
BATH,530,18,3.0,2018-06-01 20:15
LYMAN,392,11,3.0,2018-06-01 20:15
NASHUA,42846,57,0.13,2018-06-01 20:15
PITTSFIELD,1971,26,1.0,2018-06-01 20:15
PLAINFIELD,389,12,3.0,2018-06-01 20:15
BATH,530,15,3.0,2018-06-01 20:00
LYMAN,392,11,3.0,2018-06-01 20:00
NASHUA,42846,57,0.13,2018-06-01 20:00
PITTSFIELD,1971,26,1.0,2018-06-01 20:00
PLAINFIELD,389,1,0.26,2018-06-01 20:00
STODDARD,1239,1,0.08,2018-06-01 20:00
BATH,530,15,3.0,2018-06-01 19:45
LYMAN,392,11,3.0,2018-06-01 19:45
NASHUA,42846,57,0.13,2018-06-01 19:45
PITTSFIELD,1971,26,1.0,2018-06-01 19:45
STODDARD,1239,1,0.08,2018-06-01 19:45
BATH,530,15,3.0,2018-06-01 19:30
LYMAN,392,11,3.0,2018-06-01 19:30
NASHUA,42846,57,0.13,2018-06-01 19:30
PITTSFIELD,1971,26,1.0,2018-06-01 19:30
STODDARD,1239,1,0.08,2018-06-01 19:30
BATH,530,1,0.19,2018-06-01 19:15
LYMAN,392,2,0.51,2018-06-01 19:15
PITTSFIELD,1971,26,1.0,2018-06-01 19:15
STODDARD,1239,1,0.08,2018-06-01 19:15
LYMAN,392,2,0.51,2018-06-01 19:00
PITTSFIELD,1971,1,0.05,2018-06-01 19:00
STODDARD,1239,1,0.08,2018-06-01 19:00
LYMAN,392,1,0.26,2018-06-01 18:45
STODDARD,1239,1,0.08,2018-06-01 18:45
GOFFSTOWN,7616,1,0.01,2018-06-01 18:30
STODDARD,1239,1,0.08,2018-06-01 18:30
STODDARD,1239,1,0.08,2018-06-01 18:15
BEDFORD,9751,3,0.03,2018-06-01 18:00
STODDARD,1239,1,0.08,2018-06-01 18:00
BEDFORD,9751,3,0.03,2018-06-01 17:45
STODDARD,1239,1,0.08,2018-06-01 17:45
BEDFORD,9751,3,0.03,2018-06-01 17:30
MILTON,2526,1,0.04,2018-06-01 17:30
RINDGE,2852,4,0.14,2018-06-01 17:30
BEDFORD,9751,1,0.01,2018-06-01 17:15
MILTON,2526,1,0.04,2018-06-01 17:15
RINDGE,2852,5,0.18,2018-06-01 17:15
BEDFORD,9751,1,0.01,2018-06-01 17:00
MILTON,2526,1,0.04,2018-06-01 17:00
RINDGE,2852,4,0.14,2018-06-01 17:00
BEDFORD,9751,1,0.01,2018-06-01 16:45
MILTON,2526,1,0.04,2018-06-01 16:45
RINDGE,2852,4,0.14,2018-06-01 16:45
MILTON,2526,1,0.04,2018-06-01 16:30
RINDGE,2852,4,0.14,2018-06-01 16:30
RINDGE,2852,4,0.14,2018-06-01 16:15
RINDGE,2852,4,0.14,2018-06-01 16:00
RINDGE,2852,1,0.04,2018-06-01 15:45
RINDGE,2852,1,0.04,2018-06-01 15:30
MERRIMACK,11561,1,0.01,2018-06-01 15:15
PEMBROKE,3494,1,0.03,2018-06-01 15:15
RINDGE,2852,1,0.04,2018-06-01 15:15
SUNAPEE,2407,1,0.04,2018-06-01 15:15
MERRIMACK,11561,1,0.01,2018-06-01 15:00
PEMBROKE,3494,1,0.03,2018-06-01 15:00
RINDGE,2852,1,0.04,2018-06-01 15:00
SUNAPEE,2407,1,0.04,2018-06-01 15:00
MERRIMACK,11561,1,0.01,2018-06-01 14:45
NORTHUMBERLAND,1304,2,0.15,2018-06-01 14:45
PEMBROKE,3494,1,0.03,2018-06-01 14:45
RINDGE,2852,1,0.04,2018-06-01 14:45
SUNAPEE,2407,1,0.04,2018-06-01 14:45
MERRIMACK,11561,1,0.01,2018-06-01 14:30
NORTHUMBERLAND,1304,2,0.15,2018-06-01 14:30
PEMBROKE,3494,1,0.03,2018-06-01 14:30
RINDGE,2852,1,0.04,2018-06-01 14:30
SUNAPEE,2407,1,0.04,2018-06-01 14:30
NORTHUMBERLAND,1304,1,0.08,2018-06-01 14:15
PEMBROKE,3494,1,0.03,2018-06-01 14:15
RINDGE,2852,1,0.04,2018-06-01 14:15
SUNAPEE,2407,1,0.04,2018-06-01 14:15
PEMBROKE,3494,1,0.03,2018-06-01 14:00
RINDGE,2852,1,0.04,2018-06-01 14:00
PEMBROKE,3494,1,0.03,2018-06-01 13:45
RINDGE,2852,1,0.04,2018-06-01 13:45
PEMBROKE,3494,1,0.03,2018-06-01 13:30
PEMBROKE,3494,1,0.03,2018-06-01 13:15
PEMBROKE,3494,1,0.03,2018-06-01 13:00
PEMBROKE,3494,1,0.03,2018-06-01 12:45
PEMBROKE,3494,1,0.03,2018-06-01 12:30
PEMBROKE,3494,1,0.03,2018-06-01 12:15
