Town,Total Cust.,Cust. Out,% Out,timestamp
BERLIN,9821,278,3,2018-12-20 21:30
FRANKLIN,1015,1,0.10,2018-12-20 21:30
HARTFORD,59049,1092,2,2018-12-20 21:30
MANCHESTER,28994,1,0.00,2018-12-20 21:30
MERIDEN,27826,1,0.00,2018-12-20 21:30
NEWINGTON,14779,1,0.01,2018-12-20 21:30
WETHERSFIELD,12530,1,0.01,2018-12-20 21:30
WINDHAM,10264,5,0.05,2018-12-20 21:30
WINDSOR,13367,7,0.05,2018-12-20 21:30
BERLIN,9821,278,3.0,2018-12-20 21:15
FRANKLIN,1015,1,0.1,2018-12-20 21:15
HARTFORD,59049,1908,3.0,2018-12-20 21:15
MANCHESTER,28994,1,0.0,2018-12-20 21:15
MERIDEN,27826,1,0.0,2018-12-20 21:15
NEWINGTON,14779,1,0.01,2018-12-20 21:15
WINDHAM,10264,5,0.05,2018-12-20 21:15
WINDSOR,13367,7,0.05,2018-12-20 21:15
BERLIN,9821,278,3.0,2018-12-20 21:00
FRANKLIN,1015,1,0.1,2018-12-20 21:00
HARTFORD,59049,2052,3.0,2018-12-20 21:00
MANCHESTER,28994,1,0.0,2018-12-20 21:00
MERIDEN,27826,1,0.0,2018-12-20 21:00
NEWINGTON,14779,1,0.01,2018-12-20 21:00
WATERBURY,51722,1,0.0,2018-12-20 21:00
WINDHAM,10264,5,0.05,2018-12-20 21:00
WINDSOR,13367,7,0.05,2018-12-20 21:00
BERLIN,9821,278,3.0,2018-12-20 19:15
DANBURY,37215,1,0.0,2018-12-20 19:15
ENFIELD,19395,1,0.01,2018-12-20 19:15
FRANKLIN,1015,1,0.1,2018-12-20 19:15
GREENWICH,28211,2,0.01,2018-12-20 19:15
HARTFORD,59049,2970,5.0,2018-12-20 19:15
MANCHESTER,28994,1,0.0,2018-12-20 19:15
MERIDEN,27826,1,0.0,2018-12-20 19:15
NEWINGTON,14779,2,0.01,2018-12-20 19:15
PRESTON,2227,1,0.04,2018-12-20 19:15
PUTNAM,5257,1,0.02,2018-12-20 19:15
SOUTHINGTON,20037,1,0.0,2018-12-20 19:15
WATERBURY,51722,1,0.0,2018-12-20 19:15
WINDHAM,10264,1,0.01,2018-12-20 19:15
WINDSOR,13367,7,0.05,2018-12-20 19:15
AVON,8702,1,0.01,2018-12-20 15:45
DANBURY,37215,1,0.0,2018-12-20 15:45
PLAINVILLE,9546,1,0.01,2018-12-20 15:45
BOLTON,2252,1,0.04,2018-12-20 14:45
GRISWOLD,3403,2,0.06,2018-12-20 14:45
KILLINGWORTH,2875,10,0.35,2018-12-20 14:45
BLOOMFIELD,10608,20,0.19,2018-12-20 12:30
BRISTOL,29746,61,0.21,2018-12-20 12:30
GRISWOLD,3403,1,0.03,2018-12-20 12:30
KILLINGWORTH,2875,10,0.35,2018-12-20 12:30
STAMFORD,60283,234,0.39,2018-12-20 12:30
WILTON,7642,1,0.01,2018-12-20 12:30
BLOOMFIELD,10608,20,0.19,2018-12-20 12:15
BRISTOL,29746,61,0.21,2018-12-20 12:15
CROMWELL,7131,77,1.0,2018-12-20 12:15
GRISWOLD,3403,1,0.03,2018-12-20 12:15
KILLINGWORTH,2875,10,0.35,2018-12-20 12:15
STAMFORD,60283,234,0.39,2018-12-20 12:15
WILTON,7642,1,0.01,2018-12-20 12:15
AVON,8702,1,0.01,2018-12-20 12:00
BLOOMFIELD,10608,20,0.19,2018-12-20 12:00
BRISTOL,29746,61,0.21,2018-12-20 12:00
CROMWELL,7131,77,1.0,2018-12-20 12:00
GRISWOLD,3403,1,0.03,2018-12-20 12:00
KILLINGWORTH,2875,10,0.35,2018-12-20 12:00
STAMFORD,60283,234,0.39,2018-12-20 12:00
WILTON,7642,1,0.01,2018-12-20 12:00
AVON,8702,1,0.01,2018-12-20 11:45
BLOOMFIELD,10608,20,0.19,2018-12-20 11:45
BRISTOL,29746,61,0.21,2018-12-20 11:45
CROMWELL,7131,77,1.0,2018-12-20 11:45
KILLINGWORTH,2875,10,0.35,2018-12-20 11:45
STAMFORD,60283,234,0.39,2018-12-20 11:45
WILTON,7642,1,0.01,2018-12-20 11:45
