Town,Total Cust.,Cust. Out,% Out,timestamp
Town,Total Cust.,Cust. Out,% Out,2018-05-17 23:45
MILTON,10404,1,0.01,2018-05-17 23:45
WAREHAM,14656,1,0.01,2018-05-17 23:45
Town,Total Cust.,Cust. Out,% Out,2018-05-17 23:30
MILTON,10404,1,0.01,2018-05-17 23:30
Town,Total Cust.,Cust. Out,% Out,2018-05-17 23:15
MILTON,10404,1,0.01,2018-05-17 23:15
Town,Total Cust.,Cust. Out,% Out,2018-05-17 23:00
MILTON,10404,1,0.01,2018-05-17 23:00
Town,Total Cust.,Cust. Out,% Out,2018-05-17 22:45
BOSTON,277178,1,0.00,2018-05-17 22:45
MILTON,10404,1,0.01,2018-05-17 22:45
Town,Total Cust.,Cust. Out,% Out,2018-05-17 22:30
BOSTON,277178,1,0.00,2018-05-17 22:30
MILTON,10404,1,0.01,2018-05-17 22:30
Town,Total Cust.,Cust. Out,% Out,2018-05-17 22:15
MILTON,10404,1,0.01,2018-05-17 22:15
Town,Total Cust.,Cust. Out,% Out,2018-05-17 21:15
FALMOUTH,25650,1,0.00,2018-05-17 21:15
MILTON,10404,1,0.01,2018-05-17 21:15
Town,Total Cust.,Cust. Out,% Out,2018-05-17 21:00
MILTON,10404,1,0.01,2018-05-17 21:00
TRURO,3615,1,0.03,2018-05-17 21:00
Town,Total Cust.,Cust. Out,% Out,2018-05-17 20:45
MILTON,10404,1,0.01,2018-05-17 20:45
Town,Total Cust.,Cust. Out,% Out,2018-05-17 20:30
MILTON,10404,1,0.01,2018-05-17 20:30
WATERTOWN,18452,1,0.01,2018-05-17 20:30
Town,Total Cust.,Cust. Out,% Out,2018-05-17 20:15
MILTON,10404,1,0.01,2018-05-17 20:15
WATERTOWN,18452,1,0.01,2018-05-17 20:15
Town,Total Cust.,Cust. Out,% Out,2018-05-17 20:00
MILTON,10404,1,0.01,2018-05-17 20:00
WATERTOWN,18452,1,0.01,2018-05-17 20:00
Town,Total Cust.,Cust. Out,% Out,2018-05-17 19:30
EASTHAM,6598,2,0.03,2018-05-17 19:30
WATERTOWN,18452,1,0.01,2018-05-17 19:30
Town,Total Cust.,Cust. Out,% Out,2018-05-17 19:15
EASTHAM,6598,2,0.03,2018-05-17 19:15
WATERTOWN,18452,1,0.01,2018-05-17 19:15
Town,Total Cust.,Cust. Out,% Out,2018-05-17 19:00
EASTHAM,6598,2,0.03,2018-05-17 19:00
WATERTOWN,18452,1,0.01,2018-05-17 19:00
Town,Total Cust.,Cust. Out,% Out,2018-05-17 18:45
EASTHAM,6598,2,0.03,2018-05-17 18:45
PLYMOUTH,31064,1,0.00,2018-05-17 18:45
WATERTOWN,18452,1,0.01,2018-05-17 18:45
Town,Total Cust.,Cust. Out,% Out,2018-05-17 18:30
EASTHAM,6598,2,0.03,2018-05-17 18:30
PLYMOUTH,31064,1,0.00,2018-05-17 18:30
WATERTOWN,18452,1,0.01,2018-05-17 18:30
Town,Total Cust.,Cust. Out,% Out,2018-05-17 18:15
EASTHAM,6598,2,0.03,2018-05-17 18:15
PLYMOUTH,31064,1,0.00,2018-05-17 18:15
WATERTOWN,18452,1,0.01,2018-05-17 18:15
Town,Total Cust.,Cust. Out,% Out,2018-05-17 18:00
EASTHAM,6598,2,0.03,2018-05-17 18:00
PLYMOUTH,31064,1,0.00,2018-05-17 18:00
SOMERVILLE,39406,47,0.12,2018-05-17 18:00
WATERTOWN,18452,1,0.01,2018-05-17 18:00
Town,Total Cust.,Cust. Out,% Out,2018-05-17 17:45
BARNSTABLE,31251,1,0.00,2018-05-17 17:45
EASTHAM,6598,2,0.03,2018-05-17 17:45
PLYMOUTH,31064,1,0.00,2018-05-17 17:45
SOMERVILLE,39406,47,0.12,2018-05-17 17:45
Town,Total Cust.,Cust. Out,% Out,2018-05-17 17:30
BARNSTABLE,31251,1,0.00,2018-05-17 17:30
EASTHAM,6598,2,0.03,2018-05-17 17:30
PLYMOUTH,31064,1,0.00,2018-05-17 17:30
SOMERVILLE,39406,47,0.12,2018-05-17 17:30
TRURO,3615,1,0.03,2018-05-17 17:30
Town,Total Cust.,Cust. Out,% Out,2018-05-17 17:15
BARNSTABLE,31251,2,0.01,2018-05-17 17:15
EASTHAM,6598,2,0.03,2018-05-17 17:15
