Town,Total Cust.,Cust. Out,% Out,timestamp
SANDISFIELD,757,39,5,2018-09-04 21:15
SANDISFIELD,757,39,5.0,2018-09-04 21:00
SANDISFIELD,757,39,5.0,2018-09-04 20:45
SANDISFIELD,757,39,5.0,2018-09-04 20:30
SANDISFIELD,757,39,5.0,2018-09-04 20:15
SANDISFIELD,757,39,5.0,2018-09-04 20:00
SANDISFIELD,757,39,5.0,2018-09-04 19:45
SANDISFIELD,757,39,5.0,2018-09-04 19:30
SANDISFIELD,757,39,5.0,2018-09-04 19:15
SANDISFIELD,757,39,5.0,2018-09-04 19:00
SPRINGFIELD,64080,1,0.0,2018-09-04 18:15
SPRINGFIELD,64080,1,0.0,2018-09-04 18:00
CHICOPEE,40,2,5.0,2018-09-04 17:45
SPRINGFIELD,64080,1674,3.0,2018-09-04 17:45
CHICOPEE,40,2,5.0,2018-09-04 17:30
SPRINGFIELD,64080,1674,3.0,2018-09-04 17:30
CHICOPEE,40,2,5.0,2018-09-04 17:15
SPRINGFIELD,64080,1677,3.0,2018-09-04 17:15
CHICOPEE,40,2,5.0,2018-09-04 17:00
SPRINGFIELD,64080,2172,3.0,2018-09-04 17:00
CHICOPEE,40,2,5.0,2018-09-04 16:45
SPRINGFIELD,64080,2171,3.0,2018-09-04 16:45
CHICOPEE,40,3,8.0,2018-09-04 16:30
SPRINGFIELD,64080,2634,4.0,2018-09-04 16:30
CHICOPEE,40,3,8.0,2018-09-04 16:15
SPRINGFIELD,64080,2634,4.0,2018-09-04 16:15
SPRINGFIELD,64080,496,0.77,2018-09-04 16:00
GREENFIELD,9391,1,0.01,2018-09-04 15:45
SPRINGFIELD,64080,1,0.0,2018-09-04 15:45
GREENFIELD,9391,1,0.01,2018-09-04 15:30
GREENFIELD,9391,1,0.01,2018-09-04 15:15
LUDLOW,9421,28,0.3,2018-09-04 15:15
GREENFIELD,9391,1,0.01,2018-09-04 15:00
HUNTINGTON,1126,1,0.09,2018-09-04 15:00
LUDLOW,9421,28,0.3,2018-09-04 15:00
GREENFIELD,9391,1,0.01,2018-09-04 14:45
HUNTINGTON,1126,1,0.09,2018-09-04 14:45
LUDLOW,9421,28,0.3,2018-09-04 14:45
NORTHFIELD,1569,1,0.06,2018-09-04 14:45
HUNTINGTON,1126,1,0.09,2018-09-04 14:30
LUDLOW,9421,28,0.3,2018-09-04 14:30
NORTHFIELD,1569,1,0.06,2018-09-04 14:30
HUNTINGTON,1126,1,0.09,2018-09-04 14:15
LUDLOW,9421,29,0.31,2018-09-04 14:15
NORTHFIELD,1569,1,0.06,2018-09-04 14:15
AGAWAM,13022,108,0.83,2018-09-04 13:45
HUNTINGTON,1126,1,0.09,2018-09-04 13:45
LUDLOW,9421,29,0.31,2018-09-04 13:45
NORTHFIELD,1569,1,0.06,2018-09-04 13:45
AGAWAM,13022,108,0.83,2018-09-04 13:30
HUNTINGTON,1126,1,0.09,2018-09-04 13:30
LUDLOW,9421,1,0.01,2018-09-04 13:30
LONGMEADOW,6018,1,0.02,2018-09-04 09:00
MONTAGUE,4541,1,0.02,2018-09-04 09:00
PITTSFIELD,23082,1,0.0,2018-09-04 07:45
PITTSFIELD,23082,1,0.0,2018-09-04 07:30
SPRINGFIELD,64080,1,0.0,2018-09-04 07:30
PITTSFIELD,23082,1,0.0,2018-09-04 07:15
SPRINGFIELD,64080,1,0.0,2018-09-04 07:15
PITTSFIELD,23082,1,0.0,2018-09-04 07:00
SPRINGFIELD,64080,1,0.0,2018-09-04 07:00
PITTSFIELD,23082,33,0.14,2018-09-04 00:45
PITTSFIELD,23082,33,0.14,2018-09-04 00:30
PITTSFIELD,23082,33,0.14,2018-09-04 00:15
PITTSFIELD,23082,33,0.14,2018-09-04 00:00
