Town,Total Cust.,Cust. Out,% Out,timestamp
MILTON,2530,1,0.04,2018-10-31 20:45
MILTON,2530,1,0.04,2018-10-31 20:30
KEENE,11380,4,0.04,2018-10-31 18:00
KEENE,11380,4,0.04,2018-10-31 17:45
CLAREMONT,6643,15,0.23,2018-10-31 17:30
KEENE,11380,1,0.01,2018-10-31 17:30
CLAREMONT,6643,15,0.23,2018-10-31 17:15
CLAREMONT,6643,15,0.23,2018-10-31 17:00
CLAREMONT,6643,15,0.23,2018-10-31 16:45
CLAREMONT,6643,15,0.23,2018-10-31 16:30
CLAREMONT,6643,15,0.23,2018-10-31 16:15
CLAREMONT,6643,15,0.23,2018-10-31 16:00
CLAREMONT,6643,15,0.23,2018-10-31 15:45
WHITEFIELD,1595,1,0.06,2018-10-31 15:45
CLAREMONT,6643,15,0.23,2018-10-31 15:30
WHITEFIELD,1595,1,0.06,2018-10-31 15:30
CLAREMONT,6643,15,0.23,2018-10-31 15:15
MADISON,2043,1,0.05,2018-10-31 15:15
WHITEFIELD,1595,1,0.06,2018-10-31 15:15
CLAREMONT,6643,15,0.23,2018-10-31 15:00
FRANCONIA,1082,2,0.18,2018-10-31 15:00
WHITEFIELD,1595,1,0.06,2018-10-31 15:00
BARRINGTON,4511,1,0.02,2018-10-31 14:45
CLAREMONT,6643,15,0.23,2018-10-31 14:45
FRANCONIA,1082,1,0.09,2018-10-31 14:45
LONDONDERRY,11483,2,0.02,2018-10-31 14:45
WHITEFIELD,1595,1,0.06,2018-10-31 14:45
BARRINGTON,4511,36,0.8,2018-10-31 14:30
CLAREMONT,6643,1,0.02,2018-10-31 14:30
FRANCONIA,1082,1,0.09,2018-10-31 14:30
GORHAM,1842,1,0.05,2018-10-31 14:30
LONDONDERRY,11483,2,0.02,2018-10-31 14:30
ROCHESTER,16838,4,0.02,2018-10-31 14:30
WHITEFIELD,1595,1,0.06,2018-10-31 14:30
BARRINGTON,4511,36,0.8,2018-10-31 14:15
GILFORD,5805,1,0.02,2018-10-31 14:15
GORHAM,1842,1,0.05,2018-10-31 14:15
HINSDALE,2067,4,0.19,2018-10-31 14:15
LONDONDERRY,11483,2,0.02,2018-10-31 14:15
ROCHESTER,16838,4,0.02,2018-10-31 14:15
WHITEFIELD,1595,1,0.06,2018-10-31 14:15
BARRINGTON,4511,36,0.8,2018-10-31 14:00
GORHAM,1842,1,0.05,2018-10-31 14:00
HINSDALE,2067,4,0.19,2018-10-31 14:00
LONDONDERRY,11483,2,0.02,2018-10-31 14:00
ROCHESTER,16838,4,0.02,2018-10-31 14:00
WHITEFIELD,1595,1,0.06,2018-10-31 14:00
BARRINGTON,4511,36,0.8,2018-10-31 13:45
GORHAM,1842,1,0.05,2018-10-31 13:45
GRANTHAM,2184,1,0.05,2018-10-31 13:45
HINSDALE,2067,4,0.19,2018-10-31 13:45
LONDONDERRY,11483,2,0.02,2018-10-31 13:45
ROCHESTER,16838,4,0.02,2018-10-31 13:45
