Town,Total Cust.,Cust. Out,% Out,timestamp
BOSTON,277102,313,0.11,2018-09-18 23:45
FRAMINGHAM,30286,1,0.00,2018-09-18 23:45
MEDFIELD,5029,1,0.02,2018-09-18 23:45
MILLIS,3738,4,0.11,2018-09-18 23:45
WALPOLE,10890,1,0.01,2018-09-18 23:45
WOBURN,20610,1,0.00,2018-09-18 23:45
BOSTON,277102,313,0.11,2018-09-18 23:30
FRAMINGHAM,30286,1,0.0,2018-09-18 23:30
MEDFIELD,5029,1,0.02,2018-09-18 23:30
MILLIS,3738,4,0.11,2018-09-18 23:30
WALPOLE,10890,1,0.01,2018-09-18 23:30
WOBURN,20610,1,0.0,2018-09-18 23:30
BOSTON,277102,316,0.11,2018-09-18 23:15
DOVER,2254,1,0.04,2018-09-18 23:15
FRAMINGHAM,30286,1,0.0,2018-09-18 23:15
MEDFIELD,5029,1,0.02,2018-09-18 23:15
MILLIS,3738,4,0.11,2018-09-18 23:15
WALPOLE,10890,261,2.0,2018-09-18 23:15
WOBURN,20610,1,0.0,2018-09-18 23:15
BOSTON,277102,316,0.11,2018-09-18 23:00
DOVER,2254,1,0.04,2018-09-18 23:00
FRAMINGHAM,30286,1,0.0,2018-09-18 23:00
MEDFIELD,5029,1,0.02,2018-09-18 23:00
MILLIS,3738,4,0.11,2018-09-18 23:00
WALPOLE,10890,261,2.0,2018-09-18 23:00
WESTON,4358,9,0.21,2018-09-18 23:00
WOBURN,20610,1,0.0,2018-09-18 23:00
BEDFORD,6216,0,0.0,2018-09-18 22:45
BOSTON,277102,489,0.18,2018-09-18 22:45
DOVER,2254,1,0.04,2018-09-18 22:45
FRAMINGHAM,30286,1,0.0,2018-09-18 22:45
MEDFIELD,5029,1,0.02,2018-09-18 22:45
MILLIS,3738,4,0.11,2018-09-18 22:45
WALPOLE,10890,260,2.0,2018-09-18 22:45
WESTON,4358,9,0.21,2018-09-18 22:45
WOBURN,20610,1,0.0,2018-09-18 22:45
BEDFORD,6216,0,0.0,2018-09-18 22:30
BOSTON,277102,490,0.18,2018-09-18 22:30
FRAMINGHAM,30286,1,0.0,2018-09-18 22:30
MEDFIELD,5029,1,0.02,2018-09-18 22:30
MILLIS,3738,4,0.11,2018-09-18 22:30
WESTON,4358,9,0.21,2018-09-18 22:30
WOBURN,20610,1,0.0,2018-09-18 22:30
BEDFORD,6216,0,0.0,2018-09-18 22:15
BOSTON,277102,722,0.26,2018-09-18 22:15
FRAMINGHAM,30286,1,0.0,2018-09-18 22:15
MEDFIELD,5029,1,0.02,2018-09-18 22:15
MILLIS,3738,4,0.11,2018-09-18 22:15
WESTON,4358,9,0.21,2018-09-18 22:15
ASHLAND,8152,1,0.01,2018-09-18 22:00
BEDFORD,6216,0,0.0,2018-09-18 22:00
BOSTON,277102,720,0.26,2018-09-18 22:00
FRAMINGHAM,30286,1,0.0,2018-09-18 22:00
MARSHFIELD,12479,1,0.01,2018-09-18 22:00
MEDFIELD,5029,1,0.02,2018-09-18 22:00
MILLIS,3738,4,0.11,2018-09-18 22:00
WESTON,4358,23,0.53,2018-09-18 22:00
WINCHESTER,8573,86,1.0,2018-09-18 22:00
ASHLAND,8152,1,0.01,2018-09-18 21:45
BEDFORD,6216,0,0.0,2018-09-18 21:45
BOSTON,277102,720,0.26,2018-09-18 21:45
FRAMINGHAM,30286,1,0.0,2018-09-18 21:45
MARSHFIELD,12479,1,0.01,2018-09-18 21:45
MEDFIELD,5029,1,0.02,2018-09-18 21:45
MILLIS,3738,4,0.11,2018-09-18 21:45
SOMERVILLE,39390,1,0.0,2018-09-18 21:45
WESTON,4358,14,0.32,2018-09-18 21:45
WINCHESTER,8573,86,1.0,2018-09-18 21:45
WOBURN,20610,571,3.0,2018-09-18 21:45
ASHLAND,8152,1,0.01,2018-09-18 21:30
BEDFORD,6216,0,0.0,2018-09-18 21:30
BOSTON,277102,719,0.26,2018-09-18 21:30
FRAMINGHAM,30286,1,0.0,2018-09-18 21:30
MARSHFIELD,12479,1,0.01,2018-09-18 21:30
MEDFIELD,5029,1,0.02,2018-09-18 21:30
MILLIS,3738,4,0.11,2018-09-18 21:30
SOMERVILLE,39390,1,0.0,2018-09-18 21:30
WESTON,4358,14,0.32,2018-09-18 21:30
WINCHESTER,8573,86,1.0,2018-09-18 21:30
WOBURN,20610,573,3.0,2018-09-18 21:30
ASHLAND,8152,1,0.01,2018-09-18 21:15
BEDFORD,6216,0,0.0,2018-09-18 21:15
BOSTON,277102,855,0.31,2018-09-18 21:15
FRAMINGHAM,30286,1,0.0,2018-09-18 21:15
MARSHFIELD,12479,1,0.01,2018-09-18 21:15
MEDFIELD,5029,1,0.02,2018-09-18 21:15
MILLIS,3738,4,0.11,2018-09-18 21:15
SOMERVILLE,39390,1,0.0,2018-09-18 21:15
WESTON,4358,7,0.16,2018-09-18 21:15
WINCHESTER,8573,86,1.0,2018-09-18 21:15
WOBURN,20610,573,3.0,2018-09-18 21:15
ASHLAND,8152,1,0.01,2018-09-18 21:00
BOSTON,277102,312,0.11,2018-09-18 21:00
FRAMINGHAM,30286,1,0.0,2018-09-18 21:00
MARSHFIELD,12479,1,0.01,2018-09-18 21:00
MEDFIELD,5029,1,0.02,2018-09-18 21:00
MILLIS,3738,4,0.11,2018-09-18 21:00
SOMERVILLE,39390,1,0.0,2018-09-18 21:00
WINCHESTER,8573,86,1.0,2018-09-18 21:00
WOBURN,20610,572,3.0,2018-09-18 21:00
ASHLAND,8152,1,0.01,2018-09-18 20:45
BOSTON,277102,312,0.11,2018-09-18 20:45
BURLINGTON,11777,1,0.01,2018-09-18 20:45
CHATHAM,8476,1,0.01,2018-09-18 20:45
DUXBURY,6991,1,0.01,2018-09-18 20:45
FRAMINGHAM,30286,1,0.0,2018-09-18 20:45
MARSHFIELD,12479,1,0.01,2018-09-18 20:45
MEDFIELD,5029,1,0.02,2018-09-18 20:45
MILLIS,3738,1,0.03,2018-09-18 20:45
SOMERVILLE,39390,1,0.0,2018-09-18 20:45
WESTWOOD,6364,4,0.06,2018-09-18 20:45
WINCHESTER,8573,86,1.0,2018-09-18 20:45
WOBURN,20610,574,3.0,2018-09-18 20:45
ASHLAND,8152,1,0.01,2018-09-18 20:30
BOSTON,277102,312,0.11,2018-09-18 20:30
BURLINGTON,11777,1,0.01,2018-09-18 20:30
CHATHAM,8476,1,0.01,2018-09-18 20:30
DUXBURY,6991,1,0.01,2018-09-18 20:30
FRAMINGHAM,30286,1,0.0,2018-09-18 20:30
MARSHFIELD,12479,1,0.01,2018-09-18 20:30
MEDFIELD,5029,1,0.02,2018-09-18 20:30
MILLIS,3738,1,0.03,2018-09-18 20:30
SOMERVILLE,39390,1,0.0,2018-09-18 20:30
WESTWOOD,6364,4,0.06,2018-09-18 20:30
WINCHESTER,8573,86,1.0,2018-09-18 20:30
WOBURN,20610,573,3.0,2018-09-18 20:30
ASHLAND,8152,1,0.01,2018-09-18 20:15
BELLINGHAM,1715,14,0.82,2018-09-18 20:15
BOSTON,277102,311,0.11,2018-09-18 20:15
BURLINGTON,11777,1,0.01,2018-09-18 20:15
CHATHAM,8476,1,0.01,2018-09-18 20:15
DUXBURY,6991,1,0.01,2018-09-18 20:15
