Town,Total Cust.,Cust. Out,% Out,timestamp
BEDFORD,9757,17,0.17,2018-09-29 23:45
MILTON,2529,166,7,2018-09-29 23:45
PETERBOROUGH,3860,31,0.80,2018-09-29 23:45
BEDFORD,9757,17,0.17,2018-09-29 23:30
MILTON,2529,166,7.0,2018-09-29 23:30
PETERBOROUGH,3860,31,0.8,2018-09-29 23:30
SOMERSWORTH,6125,1,0.02,2018-09-29 23:30
BEDFORD,9757,17,0.17,2018-09-29 23:15
MILTON,2529,30,1.0,2018-09-29 23:15
PETERBOROUGH,3860,31,0.8,2018-09-29 23:15
SOMERSWORTH,6125,1,0.02,2018-09-29 23:15
PETERBOROUGH,3860,31,0.8,2018-09-29 23:00
SOMERSWORTH,6125,1,0.02,2018-09-29 23:00
PETERBOROUGH,3860,31,0.8,2018-09-29 22:45
SOMERSWORTH,6125,1,0.02,2018-09-29 22:45
PETERBOROUGH,3860,31,0.8,2018-09-29 22:30
SOMERSWORTH,6125,1,0.02,2018-09-29 22:30
NOTTINGHAM,1401,2,0.14,2018-09-29 22:15
PETERBOROUGH,3860,31,0.8,2018-09-29 22:15
SOMERSWORTH,6125,1,0.02,2018-09-29 22:15
PETERBOROUGH,3860,31,0.8,2018-09-29 22:00
PETERBOROUGH,3860,31,0.8,2018-09-29 21:45
PETERBOROUGH,3860,31,0.8,2018-09-29 21:30
PETERBOROUGH,3860,31,0.8,2018-09-29 21:15
CHESTER,1090,1,0.09,2018-09-29 21:00
PETERBOROUGH,3860,31,0.8,2018-09-29 21:00
CHESTER,1090,1,0.09,2018-09-29 20:45
PETERBOROUGH,3860,31,0.8,2018-09-29 20:45
CHESTER,1090,1,0.09,2018-09-29 20:30
LOUDON,2578,1,0.04,2018-09-29 20:30
PETERBOROUGH,3860,31,0.8,2018-09-29 20:30
CHESTER,1090,1,0.09,2018-09-29 20:15
LOUDON,2578,1,0.04,2018-09-29 20:15
PETERBOROUGH,3860,31,0.8,2018-09-29 20:15
CHESTER,1090,1,0.09,2018-09-29 20:00
LOUDON,2578,1,0.04,2018-09-29 20:00
PETERBOROUGH,3860,31,0.8,2018-09-29 20:00
LOUDON,2578,1,0.04,2018-09-29 19:45
PETERBOROUGH,3860,31,0.8,2018-09-29 19:45
CLAREMONT,6647,28,0.42,2018-09-29 19:30
LOUDON,2578,1,0.04,2018-09-29 19:30
PETERBOROUGH,3860,31,0.8,2018-09-29 19:30
CLAREMONT,6647,28,0.42,2018-09-29 19:15
LOUDON,2578,1,0.04,2018-09-29 19:15
NASHUA,42908,1,0.0,2018-09-29 19:15
CLAREMONT,6647,28,0.42,2018-09-29 19:00
NASHUA,42908,1,0.0,2018-09-29 19:00
CLAREMONT,6647,28,0.42,2018-09-29 18:45
NASHUA,42908,1,0.0,2018-09-29 18:45
PETERBOROUGH,3860,18,0.47,2018-09-29 18:45
NASHUA,42908,1,0.0,2018-09-29 18:30
PETERBOROUGH,3860,15,0.39,2018-09-29 18:30
NASHUA,42908,1,0.0,2018-09-29 18:15
PETERBOROUGH,3860,15,0.39,2018-09-29 18:15
NASHUA,42908,1,0.0,2018-09-29 18:00
PETERBOROUGH,3860,1,0.03,2018-09-29 18:00
ROCHESTER,16821,1,0.01,2018-09-29 18:00
BROOKLINE,2135,37,2.0,2018-09-29 17:30
BROOKLINE,2135,37,2.0,2018-09-29 17:15
BROOKLINE,2135,37,2.0,2018-09-29 17:00
BROOKLINE,2135,37,2.0,2018-09-29 16:45
BROOKLINE,2135,37,2.0,2018-09-29 16:30
BROOKLINE,2135,37,2.0,2018-09-29 16:15
BROOKLINE,2135,37,2.0,2018-09-29 16:00
ENFIELD,62,49,79.0,2018-09-29 10:45
GRANTHAM,2184,491,22.0,2018-09-29 10:45
SPRINGFIELD,684,56,8.0,2018-09-29 10:45
ENFIELD,62,49,79.0,2018-09-29 10:30
GRANTHAM,2184,491,22.0,2018-09-29 10:30
SPRINGFIELD,684,56,8.0,2018-09-29 10:30
ENFIELD,62,49,79.0,2018-09-29 10:15
GRANTHAM,2184,491,22.0,2018-09-29 10:15
SPRINGFIELD,684,56,8.0,2018-09-29 10:15
ENFIELD,62,49,79.0,2018-09-29 10:00
GRANTHAM,2184,491,22.0,2018-09-29 10:00
SPRINGFIELD,684,56,8.0,2018-09-29 10:00
ENFIELD,62,49,79.0,2018-09-29 09:45
GILSUM,434,1,0.23,2018-09-29 09:45
GRANTHAM,2184,491,22.0,2018-09-29 09:45
SPRINGFIELD,684,56,8.0,2018-09-29 09:45
ENFIELD,62,49,79.0,2018-09-29 09:30
GILSUM,434,1,0.23,2018-09-29 09:30
GRANTHAM,2184,491,22.0,2018-09-29 09:30
SPRINGFIELD,684,56,8.0,2018-09-29 09:30
GILSUM,434,1,0.23,2018-09-29 09:15
GILSUM,434,1,0.23,2018-09-29 09:00
EFFINGHAM,1300,7,0.54,2018-09-29 07:45
EFFINGHAM,1300,7,0.54,2018-09-29 07:30
EFFINGHAM,1300,7,0.54,2018-09-29 07:15
EFFINGHAM,1300,7,0.54,2018-09-29 07:00
MADBURY,878,1,0.11,2018-09-29 01:00
MADBURY,878,1,0.11,2018-09-29 00:45
MADBURY,878,1,0.11,2018-09-29 00:30
MADBURY,878,1,0.11,2018-09-29 00:15
MADBURY,878,1,0.11,2018-09-29 00:00
