Town,Total Cust.,Cust. Out,% Out,timestamp
GRAFTON,405,1,0.25,2019-01-03 20:15
GRAFTON,405,1,0.25,2019-01-03 20:00
GRAFTON,405,1,0.25,2019-01-03 19:45
GRAFTON,405,1,0.25,2019-01-03 19:30
GRAFTON,405,1,0.25,2019-01-03 19:15
GRAFTON,405,1,0.25,2019-01-03 19:00
GRAFTON,405,1,0.25,2019-01-03 18:45
DOVER,17065,24,0.14,2019-01-03 16:45
DOVER,17065,24,0.14,2019-01-03 16:30
DOVER,17065,24,0.14,2019-01-03 16:15
LOUDON,2580,2,0.08,2019-01-03 16:15
DOVER,17065,24,0.14,2019-01-03 16:00
LOUDON,2580,2,0.08,2019-01-03 16:00
DOVER,17065,24,0.14,2019-01-03 15:45
LOUDON,2580,2,0.08,2019-01-03 15:45
DOVER,17065,24,0.14,2019-01-03 15:30
LOUDON,2580,2,0.08,2019-01-03 15:30
SWANZEY,3905,10,0.26,2019-01-03 15:30
AMHERST,5657,43,0.76,2019-01-03 15:15
DOVER,17065,24,0.14,2019-01-03 15:15
LOUDON,2580,2,0.08,2019-01-03 15:15
ROCHESTER,16902,1,0.01,2019-01-03 15:15
SUGAR HILL,424,1,0.24,2019-01-03 15:15
SWANZEY,3905,10,0.26,2019-01-03 15:15
AMHERST,5657,43,0.76,2019-01-03 15:00
DOVER,17065,24,0.14,2019-01-03 15:00
LOUDON,2580,2,0.08,2019-01-03 15:00
ROCHESTER,16902,1,0.01,2019-01-03 15:00
SUGAR HILL,424,1,0.24,2019-01-03 15:00
WARNER,1669,1,0.06,2019-01-03 15:00
AMHERST,5657,43,0.76,2019-01-03 14:45
BARRINGTON,4521,10,0.22,2019-01-03 14:45
DOVER,17065,24,0.14,2019-01-03 14:45
LOUDON,2580,2,0.08,2019-01-03 14:45
ROCHESTER,16902,1,0.01,2019-01-03 14:45
STRAFFORD,2169,17,0.78,2019-01-03 14:45
SUGAR HILL,424,1,0.24,2019-01-03 14:45
WARNER,1669,1,0.06,2019-01-03 14:45
AMHERST,5657,86,2.0,2019-01-03 14:30
BARRINGTON,4521,10,0.22,2019-01-03 14:30
DOVER,17065,24,0.14,2019-01-03 14:30
ROCHESTER,16902,1,0.01,2019-01-03 14:30
STRAFFORD,2169,17,0.78,2019-01-03 14:30
SUGAR HILL,424,1,0.24,2019-01-03 14:30
WARNER,1669,1,0.06,2019-01-03 14:30
AMHERST,5657,86,2.0,2019-01-03 14:15
BARRINGTON,4521,10,0.22,2019-01-03 14:15
DOVER,17065,24,0.14,2019-01-03 14:15
GILFORD,5821,2,0.03,2019-01-03 14:15
HOOKSETT,6993,15,0.21,2019-01-03 14:15
ROCHESTER,16902,1,0.01,2019-01-03 14:15
STRAFFORD,2169,17,0.78,2019-01-03 14:15
SUGAR HILL,424,1,0.24,2019-01-03 14:15
SWANZEY,3905,1,0.03,2019-01-03 14:15
WARNER,1669,1,0.06,2019-01-03 14:15
AMHERST,5657,86,2.0,2019-01-03 14:00
BARRINGTON,4521,10,0.22,2019-01-03 14:00
DOVER,17065,24,0.14,2019-01-03 14:00
GILFORD,5821,2,0.03,2019-01-03 14:00
HOOKSETT,6993,15,0.21,2019-01-03 14:00
ROCHESTER,16902,1,0.01,2019-01-03 14:00
STRAFFORD,2169,17,0.78,2019-01-03 14:00
SUGAR HILL,424,1,0.24,2019-01-03 14:00
SWANZEY,3905,1,0.03,2019-01-03 14:00
AMHERST,5657,22,0.39,2019-01-03 13:45
BARRINGTON,4521,10,0.22,2019-01-03 13:45
DOVER,17065,24,0.14,2019-01-03 13:45
