Town,Total Cust.,Cust. Out,% Out,timestamp
AVON,8704,1,0.01,2018-06-11 20:15
EAST HARTFORD,23273,1,0.00,2018-06-11 20:15
GLASTONBURY,15992,319,2,2018-06-11 20:15
HARTFORD,58954,1,0.00,2018-06-11 20:15
HARTFORD,58954,1,0.0,2018-06-11 19:00
WETHERSFIELD,12473,1,0.01,2018-06-11 19:00
COLCHESTER,7217,75,1.0,2018-06-11 14:15
HARTFORD,58954,197,0.33,2018-06-11 14:15
HEBRON,3954,273,7.0,2018-06-11 14:15
MIDDLEFIELD,2198,2,0.09,2018-06-11 14:15
NAUGATUCK,14423,1,0.01,2018-06-11 14:15
NEW FAIRFIELD,6105,1,0.02,2018-06-11 14:15
NORWALK,31196,73,0.23,2018-06-11 14:15
PLYMOUTH,5773,127,2.0,2018-06-11 14:15
SALEM,1959,30,2.0,2018-06-11 14:15
WINCHESTER,6089,1,0.02,2018-06-11 14:15
COLCHESTER,7217,80,1.0,2018-06-11 14:00
FARMINGTON,12762,1,0.01,2018-06-11 14:00
HARTFORD,58954,197,0.33,2018-06-11 14:00
HEBRON,3954,273,7.0,2018-06-11 14:00
MIDDLEFIELD,2198,2,0.09,2018-06-11 14:00
NAUGATUCK,14423,1,0.01,2018-06-11 14:00
NEW FAIRFIELD,6105,1,0.02,2018-06-11 14:00
NORWALK,31196,73,0.23,2018-06-11 14:00
OXFORD,5575,5,0.09,2018-06-11 14:00
PLYMOUTH,5773,127,2.0,2018-06-11 14:00
STAMFORD,60061,2,0.0,2018-06-11 14:00
WINCHESTER,6089,1,0.02,2018-06-11 14:00
COLCHESTER,7217,80,1.0,2018-06-11 13:45
FARMINGTON,12762,1,0.01,2018-06-11 13:45
HARTFORD,58954,197,0.33,2018-06-11 13:45
HEBRON,3954,273,7.0,2018-06-11 13:45
MIDDLEFIELD,2198,2,0.09,2018-06-11 13:45
NAUGATUCK,14423,1,0.01,2018-06-11 13:45
NEW FAIRFIELD,6105,1,0.02,2018-06-11 13:45
NORWALK,31196,73,0.23,2018-06-11 13:45
OXFORD,5575,5,0.09,2018-06-11 13:45
PLYMOUTH,5773,127,2.0,2018-06-11 13:45
STAMFORD,60061,1,0.0,2018-06-11 13:45
WINCHESTER,6089,1,0.02,2018-06-11 13:45
COLCHESTER,7217,80,1.0,2018-06-11 13:00
FARMINGTON,12762,1,0.01,2018-06-11 13:00
HEBRON,3954,273,7.0,2018-06-11 13:00
MIDDLEFIELD,2198,2,0.09,2018-06-11 13:00
NAUGATUCK,14423,1,0.01,2018-06-11 13:00
NEW FAIRFIELD,6105,1,0.02,2018-06-11 13:00
NORWALK,31196,73,0.23,2018-06-11 13:00
OXFORD,5575,1,0.02,2018-06-11 13:00
PLYMOUTH,5773,127,2.0,2018-06-11 13:00
WINCHESTER,6089,1,0.02,2018-06-11 13:00
FARMINGTON,12762,1,0.01,2018-06-11 09:45
NEW FAIRFIELD,6105,1,0.02,2018-06-11 09:45
NEW MILFORD,13942,1,0.01,2018-06-11 09:45
NORWALK,31196,113,0.36,2018-06-11 09:45
RIDGEFIELD,10884,1,0.01,2018-06-11 09:45
SOUTHINGTON,19996,1,0.01,2018-06-11 09:45
FARMINGTON,12762,1,0.01,2018-06-11 09:30
NEW MILFORD,13942,1,0.01,2018-06-11 09:30
NORWALK,31196,113,0.36,2018-06-11 09:30
RIDGEFIELD,10884,1,0.01,2018-06-11 09:30
SOUTHINGTON,19996,1,0.01,2018-06-11 09:30
BRIDGEWATER,961,1,0.1,2018-06-11 09:15
FARMINGTON,12762,1,0.01,2018-06-11 09:15
NEW MILFORD,13942,1,0.01,2018-06-11 09:15
NORWALK,31196,113,0.36,2018-06-11 09:15
RIDGEFIELD,10884,1,0.01,2018-06-11 09:15
SOUTHINGTON,19996,1,0.01,2018-06-11 09:15
BRIDGEWATER,961,1,0.1,2018-06-11 09:00
COLCHESTER,7217,218,3.0,2018-06-11 09:00
FARMINGTON,12762,1,0.01,2018-06-11 09:00
NEW MILFORD,13942,1,0.01,2018-06-11 09:00
NORWALK,31196,113,0.36,2018-06-11 09:00
RIDGEFIELD,10884,1,0.01,2018-06-11 09:00
SOUTHINGTON,19996,1,0.01,2018-06-11 09:00
BRIDGEWATER,961,1,0.1,2018-06-11 08:45
COLCHESTER,7217,218,3.0,2018-06-11 08:45
FARMINGTON,12762,1,0.01,2018-06-11 08:45
NEW MILFORD,13942,1,0.01,2018-06-11 08:45
NORWALK,31196,113,0.36,2018-06-11 08:45
RIDGEFIELD,10884,1,0.01,2018-06-11 08:45
SOUTHINGTON,19996,1,0.01,2018-06-11 08:45
COLCHESTER,7217,218,3.0,2018-06-11 08:30
NEW MILFORD,13942,1,0.01,2018-06-11 08:30
NORWALK,31196,113,0.36,2018-06-11 08:30
RIDGEFIELD,10884,1,0.01,2018-06-11 08:30
SOUTHBURY,9958,1,0.01,2018-06-11 08:30
COLCHESTER,7217,218,3.0,2018-06-11 07:45
NEW FAIRFIELD,6105,15,0.25,2018-06-11 07:45
NORWALK,31196,83,0.27,2018-06-11 07:45
SOUTHBURY,9958,1,0.01,2018-06-11 07:45
TORRINGTON,18762,72,0.38,2018-06-11 07:45
COLCHESTER,7217,218,3.0,2018-06-11 07:30
NEW FAIRFIELD,6105,15,0.25,2018-06-11 07:30
NORWALK,31196,83,0.27,2018-06-11 07:30
SOUTHBURY,9958,1,0.01,2018-06-11 07:30
COLCHESTER,7217,218,3.0,2018-06-11 07:15
NEW FAIRFIELD,6105,15,0.25,2018-06-11 07:15
NORWALK,31196,83,0.27,2018-06-11 07:15
SOUTHBURY,9958,1,0.01,2018-06-11 07:15
