Town,Total Cust.,Cust. Out,% Out,timestamp
NEW BOSTON,2771,35,1,2018-08-28 23:45
RINDGE,2858,1,0.03,2018-08-28 23:45
NEWBURY,1844,2,0.11,2018-08-28 23:30
RINDGE,2858,1,0.03,2018-08-28 23:30
NEWBURY,1844,2,0.11,2018-08-28 23:15
RINDGE,2858,1,0.03,2018-08-28 23:15
NEWBURY,1844,2,0.11,2018-08-28 23:00
NEWPORT,3455,1,0.03,2018-08-28 23:00
RINDGE,2858,1,0.03,2018-08-28 23:00
NEWBURY,1844,2,0.11,2018-08-28 22:45
NEWPORT,3455,1,0.03,2018-08-28 22:45
RINDGE,2858,1,0.03,2018-08-28 22:45
NEWBURY,1844,2,0.11,2018-08-28 22:30
NEWPORT,3455,1,0.03,2018-08-28 22:30
RINDGE,2858,1,0.03,2018-08-28 22:30
SUTTON,1143,1,0.09,2018-08-28 22:30
NEWBURY,1844,1,0.05,2018-08-28 22:15
NEWPORT,3455,1,0.03,2018-08-28 22:15
RINDGE,2858,1,0.03,2018-08-28 22:15
SUTTON,1143,1,0.09,2018-08-28 22:15
DURHAM,3868,83,2.0,2018-08-28 22:00
MILFORD,7678,1,0.01,2018-08-28 22:00
NEWBURY,1844,1,0.05,2018-08-28 22:00
NEWPORT,3455,1,0.03,2018-08-28 22:00
SUTTON,1143,1,0.09,2018-08-28 22:00
BARRINGTON,4510,1,0.02,2018-08-28 21:45
DURHAM,3868,83,2.0,2018-08-28 21:45
MILFORD,7678,1,0.01,2018-08-28 21:45
NEWBURY,1844,1,0.05,2018-08-28 21:45
NEWPORT,3455,1,0.03,2018-08-28 21:45
SUTTON,1143,1,0.09,2018-08-28 21:45
ALLENSTOWN,1789,1,0.06,2018-08-28 21:30
BARRINGTON,4510,1,0.02,2018-08-28 21:30
DURHAM,3868,113,3.0,2018-08-28 21:30
NEWBURY,1844,1,0.05,2018-08-28 21:30
NEWPORT,3455,1,0.03,2018-08-28 21:30
RAYMOND,3404,20,0.59,2018-08-28 21:30
SUTTON,1143,1,0.09,2018-08-28 21:30
ALLENSTOWN,1789,1,0.06,2018-08-28 21:15
BARRINGTON,4510,1,0.02,2018-08-28 21:15
DOVER,16954,14,0.08,2018-08-28 21:15
DURHAM,3868,83,2.0,2018-08-28 21:15
NEWBURY,1844,1,0.05,2018-08-28 21:15
NEWPORT,3455,1,0.03,2018-08-28 21:15
NORTH HAMPTON,2779,7,0.25,2018-08-28 21:15
RAYMOND,3404,20,0.59,2018-08-28 21:15
SUTTON,1143,1,0.09,2018-08-28 21:15
ALLENSTOWN,1789,1,0.06,2018-08-28 21:00
BARRINGTON,4510,1,0.02,2018-08-28 21:00
DOVER,16954,14,0.08,2018-08-28 21:00
DURHAM,3868,113,3.0,2018-08-28 21:00
NEWBURY,1844,1,0.05,2018-08-28 21:00
NEWPORT,3455,1,0.03,2018-08-28 21:00
NORTH HAMPTON,2779,7,0.25,2018-08-28 21:00
RAYMOND,3404,20,0.59,2018-08-28 21:00
SUNAPEE,2401,9,0.37,2018-08-28 21:00
SUTTON,1143,1,0.09,2018-08-28 21:00
TEMPLE,699,2,0.29,2018-08-28 21:00
BARRINGTON,4510,1,0.02,2018-08-28 20:45
NEWBURY,1844,1,0.05,2018-08-28 20:45
NEWFIELDS,769,1,0.13,2018-08-28 20:45
NEWPORT,3455,1,0.03,2018-08-28 20:45
NORTH HAMPTON,2779,7,0.25,2018-08-28 20:45
RAYMOND,3404,20,0.59,2018-08-28 20:45
SUNAPEE,2401,9,0.37,2018-08-28 20:45
SUTTON,1143,1,0.09,2018-08-28 20:45
TEMPLE,699,1,0.14,2018-08-28 20:45
BARRINGTON,4510,1,0.02,2018-08-28 20:30
DOVER,16954,1,0.01,2018-08-28 20:30
NEWFIELDS,769,179,23.0,2018-08-28 20:30
NEWPORT,3455,1,0.03,2018-08-28 20:30
NORTH HAMPTON,2779,7,0.25,2018-08-28 20:30
RAYMOND,3404,20,0.59,2018-08-28 20:30
SUNAPEE,2401,9,0.37,2018-08-28 20:30
SUTTON,1143,1,0.09,2018-08-28 20:30
TEMPLE,699,1,0.14,2018-08-28 20:30
DOVER,16954,1,0.01,2018-08-28 20:15
NEWFIELDS,769,178,23.0,2018-08-28 20:15
NEWPORT,3455,1,0.03,2018-08-28 20:15
SOMERSWORTH,6126,1,0.02,2018-08-28 20:15
SUNAPEE,2401,9,0.37,2018-08-28 20:15
SUTTON,1143,1,0.09,2018-08-28 20:15
TEMPLE,699,1,0.14,2018-08-28 20:15
NASHUA,42904,174,0.41,2018-08-28 20:00
NEWPORT,3455,1,0.03,2018-08-28 20:00
SOMERSWORTH,6126,1,0.02,2018-08-28 20:00
SUNAPEE,2401,9,0.37,2018-08-28 20:00
SUTTON,1143,1,0.09,2018-08-28 20:00
CLAREMONT,6647,1,0.02,2018-08-28 19:45
NASHUA,42904,174,0.41,2018-08-28 19:45
NEWPORT,3455,1,0.03,2018-08-28 19:45
SOMERSWORTH,6126,1,0.02,2018-08-28 19:45
SUTTON,1143,1,0.09,2018-08-28 19:45
CLAREMONT,6647,1,0.02,2018-08-28 19:30
NASHUA,42904,174,0.41,2018-08-28 19:30
SOMERSWORTH,6126,1,0.02,2018-08-28 19:30
CLAREMONT,6647,1,0.02,2018-08-28 19:15
NASHUA,42904,174,0.41,2018-08-28 19:15
SOMERSWORTH,6126,1,0.02,2018-08-28 19:15
CLAREMONT,6647,1,0.02,2018-08-28 19:00
NASHUA,42904,174,0.41,2018-08-28 19:00
CLAREMONT,6647,1,0.02,2018-08-28 18:45
NASHUA,42904,213,0.5,2018-08-28 18:45
CLAREMONT,6647,1,0.02,2018-08-28 18:30
GILFORD,5810,13,0.22,2018-08-28 18:30
NASHUA,42904,39,0.09,2018-08-28 18:30
GILFORD,5810,13,0.22,2018-08-28 18:15
NASHUA,42904,39,0.09,2018-08-28 18:15
GILFORD,5810,13,0.22,2018-08-28 18:00
NASHUA,42904,39,0.09,2018-08-28 18:00
BRADFORD,1116,18,2.0,2018-08-28 17:45
GILFORD,5810,1,0.02,2018-08-28 17:45
NASHUA,42904,39,0.09,2018-08-28 17:45
BRADFORD,1116,18,2.0,2018-08-28 17:30
NASHUA,42904,39,0.09,2018-08-28 17:30
BRADFORD,1116,18,2.0,2018-08-28 17:15
NASHUA,42904,39,0.09,2018-08-28 17:15
BARNSTEAD,1587,32,2.0,2018-08-28 17:00
BRADFORD,1116,18,2.0,2018-08-28 17:00
NASHUA,42904,41,0.1,2018-08-28 17:00
STRAFFORD,2160,40,2.0,2018-08-28 17:00
BARNSTEAD,1587,32,2.0,2018-08-28 16:45
BRADFORD,1116,18,2.0,2018-08-28 16:45
HINSDALE,2066,1,0.05,2018-08-28 16:45
NASHUA,42904,40,0.09,2018-08-28 16:45
STRAFFORD,2160,40,2.0,2018-08-28 16:45
BARNSTEAD,1587,32,2.0,2018-08-28 16:30
BRADFORD,1116,18,2.0,2018-08-28 16:30
HINSDALE,2066,1,0.05,2018-08-28 16:30
NASHUA,42904,177,0.41,2018-08-28 16:30
STRAFFORD,2160,40,2.0,2018-08-28 16:30
BARNSTEAD,1587,32,2.0,2018-08-28 16:15
BRADFORD,1116,18,2.0,2018-08-28 16:15
HINSDALE,2066,1,0.05,2018-08-28 16:15
NASHUA,42904,175,0.41,2018-08-28 16:15
STRAFFORD,2160,40,2.0,2018-08-28 16:15
BARNSTEAD,1587,32,2.0,2018-08-28 16:00
BRADFORD,1116,18,2.0,2018-08-28 16:00
HINSDALE,2066,1,0.05,2018-08-28 16:00
NASHUA,42904,172,0.4,2018-08-28 16:00
STRAFFORD,2160,40,2.0,2018-08-28 16:00
BARNSTEAD,1587,32,2.0,2018-08-28 15:45
BRADFORD,1116,18,2.0,2018-08-28 15:45
HINSDALE,2066,1,0.05,2018-08-28 15:45
NASHUA,42904,488,1.0,2018-08-28 15:45
STRAFFORD,2160,40,2.0,2018-08-28 15:45
BARNSTEAD,1587,32,2.0,2018-08-28 15:30
BRADFORD,1116,18,2.0,2018-08-28 15:30
HANCOCK,1050,1,0.1,2018-08-28 15:30
