Town,Total Cust.,Cust. Out,% Out,timestamp
ANDOVER,50,39,78,2018-11-13 23:45
BEDFORD,9755,867,9,2018-11-13 23:45
BETHLEHEM,1739,51,3,2018-11-13 23:45
DALTON,658,6,0.91,2018-11-13 23:45
FRANKLIN,4459,5,0.11,2018-11-13 23:45
LANCASTER,2051,21,1,2018-11-13 23:45
LITTLETON,20,3,15,2018-11-13 23:45
LONDONDERRY,11495,4,0.03,2018-11-13 23:45
MERRIMACK,11595,3,0.03,2018-11-13 23:45
SALISBURY,125,5,4,2018-11-13 23:45
WHITEFIELD,1599,45,3,2018-11-13 23:45
ANDOVER,50,39,78.0,2018-11-13 23:30
BETHLEHEM,1739,51,3.0,2018-11-13 23:30
DALTON,658,6,0.91,2018-11-13 23:30
FRANKLIN,4459,5,0.11,2018-11-13 23:30
LANCASTER,2051,21,1.0,2018-11-13 23:30
LITTLETON,20,3,15.0,2018-11-13 23:30
LONDONDERRY,11495,4,0.03,2018-11-13 23:30
SALISBURY,125,5,4.0,2018-11-13 23:30
WEARE,4749,13,0.27,2018-11-13 23:30
WHITEFIELD,1599,46,3.0,2018-11-13 23:30
ANDOVER,50,39,78.0,2018-11-13 23:15
BETHLEHEM,1739,51,3.0,2018-11-13 23:15
DALTON,658,6,0.91,2018-11-13 23:15
FRANKLIN,4459,5,0.11,2018-11-13 23:15
GORHAM,1842,2,0.11,2018-11-13 23:15
LANCASTER,2051,2,0.1,2018-11-13 23:15
LITTLETON,20,3,15.0,2018-11-13 23:15
LONDONDERRY,11495,4,0.03,2018-11-13 23:15
PORTSMOUTH,13942,1,0.01,2018-11-13 23:15
SALISBURY,125,5,4.0,2018-11-13 23:15
WEARE,4749,3,0.06,2018-11-13 23:15
WHITEFIELD,1599,45,3.0,2018-11-13 23:15
ANDOVER,50,39,78.0,2018-11-13 23:00
BETHLEHEM,1739,51,3.0,2018-11-13 23:00
DALTON,658,5,0.76,2018-11-13 23:00
FRANKLIN,4459,5,0.11,2018-11-13 23:00
GORHAM,1842,2,0.11,2018-11-13 23:00
LANCASTER,2051,1,0.05,2018-11-13 23:00
LITTLETON,20,3,15.0,2018-11-13 23:00
LONDONDERRY,11495,4,0.03,2018-11-13 23:00
PORTSMOUTH,13942,1,0.01,2018-11-13 23:00
SALISBURY,125,5,4.0,2018-11-13 23:00
WEARE,4749,2,0.04,2018-11-13 23:00
WHITEFIELD,1599,45,3.0,2018-11-13 23:00
ANDOVER,50,39,78.0,2018-11-13 22:45
FRANKLIN,4459,5,0.11,2018-11-13 22:45
LONDONDERRY,11495,4,0.03,2018-11-13 22:45
PORTSMOUTH,13942,1,0.01,2018-11-13 22:45
SALISBURY,125,5,4.0,2018-11-13 22:45
WEARE,4749,2,0.04,2018-11-13 22:45
GORHAM,1842,816,44.0,2018-11-13 22:30
GREENS GRANT,10,10,100.0,2018-11-13 22:30
LONDONDERRY,11495,4,0.03,2018-11-13 22:30
MARTINS LOCATION,21,21,100.0,2018-11-13 22:30
NEW IPSWICH,2327,4,0.17,2018-11-13 22:30
