Town,Total Cust.,Cust. Out,% Out,timestamp
ARLINGTON,21521,18,0.08,2018-07-03 23:45
BOSTON,277272,113,0.04,2018-07-03 23:45
BREWSTER,8998,7,0.08,2018-07-03 23:45
CAMBRIDGE,55166,96,0.17,2018-07-03 23:45
CARLISLE,2030,4,0.20,2018-07-03 23:45
DEDHAM,11186,2,0.02,2018-07-03 23:45
DENNIS,17115,1,0.01,2018-07-03 23:45
FRAMINGHAM,30259,58,0.19,2018-07-03 23:45
MILTON,10422,1,0.01,2018-07-03 23:45
NATICK,17238,3,0.02,2018-07-03 23:45
NEEDHAM,12817,1,0.01,2018-07-03 23:45
NEWTON,40741,1,0.00,2018-07-03 23:45
SOMERVILLE,39410,6,0.02,2018-07-03 23:45
STONEHAM,11068,910,8,2018-07-03 23:45
TRURO,3619,1,0.03,2018-07-03 23:45
WAKEFIELD,26,21,81,2018-07-03 23:45
WALTHAM,29896,36,0.12,2018-07-03 23:45
WINCHESTER,8571,41,0.48,2018-07-03 23:45
WOBURN,20600,20,0.10,2018-07-03 23:45
ARLINGTON,21521,18,0.08,2018-07-03 23:30
BOSTON,277272,111,0.04,2018-07-03 23:30
BREWSTER,8998,7,0.08,2018-07-03 23:30
CAMBRIDGE,55166,35,0.06,2018-07-03 23:30
CARLISLE,2030,4,0.2,2018-07-03 23:30
DEDHAM,11186,2,0.02,2018-07-03 23:30
DENNIS,17115,1,0.01,2018-07-03 23:30
FRAMINGHAM,30259,58,0.19,2018-07-03 23:30
MILTON,10422,1,0.01,2018-07-03 23:30
NATICK,17238,3,0.02,2018-07-03 23:30
NEEDHAM,12817,18,0.14,2018-07-03 23:30
NEWTON,40741,1,0.0,2018-07-03 23:30
SOMERVILLE,39410,6,0.02,2018-07-03 23:30
STONEHAM,11068,910,8.0,2018-07-03 23:30
TRURO,3619,1,0.03,2018-07-03 23:30
WAKEFIELD,26,21,81.0,2018-07-03 23:30
WALTHAM,29896,36,0.12,2018-07-03 23:30
WINCHESTER,8571,41,0.48,2018-07-03 23:30
WOBURN,20600,20,0.1,2018-07-03 23:30
ARLINGTON,21521,18,0.08,2018-07-03 23:15
BOSTON,277272,114,0.04,2018-07-03 23:15
BREWSTER,8998,7,0.08,2018-07-03 23:15
CAMBRIDGE,55166,34,0.06,2018-07-03 23:15
CARLISLE,2030,4,0.2,2018-07-03 23:15
DEDHAM,11186,2,0.02,2018-07-03 23:15
DENNIS,17115,1,0.01,2018-07-03 23:15
FRAMINGHAM,30259,58,0.19,2018-07-03 23:15
MILTON,10422,1,0.01,2018-07-03 23:15
NATICK,17238,3,0.02,2018-07-03 23:15
NEEDHAM,12817,18,0.14,2018-07-03 23:15
NEWTON,40741,1,0.0,2018-07-03 23:15
SOMERVILLE,39410,6,0.02,2018-07-03 23:15
STONEHAM,11068,909,8.0,2018-07-03 23:15
TRURO,3619,1,0.03,2018-07-03 23:15
WAKEFIELD,26,21,81.0,2018-07-03 23:15
WALTHAM,29896,36,0.12,2018-07-03 23:15
WINCHESTER,8571,41,0.48,2018-07-03 23:15
WOBURN,20600,20,0.1,2018-07-03 23:15
ARLINGTON,21521,18,0.08,2018-07-03 23:00
BEDFORD,6208,1,0.02,2018-07-03 23:00
BOSTON,277272,117,0.04,2018-07-03 23:00
BREWSTER,8998,7,0.08,2018-07-03 23:00
CAMBRIDGE,55166,34,0.06,2018-07-03 23:00
